linear2Timestamp;linear2XPos;linear2YPos;linear2newCorr;linear2smoothCorr
23.957;-0.006854907;-0.4047004;;
23.958;-0.006580238;-0.4047691;;
23.958;-0.006552004;-0.4047762;;
23.959;-0.006460594;-0.404799;;
23.979;0.03854685;-0.4160509;;
23.98;0.03854685;-0.4160509;;
23.981;0.03854685;-0.4160509;;
23.981;0.03854685;-0.4160509;;
24.001;0.0828522;-0.4271272;;
24.001;0.0828522;-0.4271272;;
24.002;0.0828522;-0.4271272;;
24.003;0.0828522;-0.4271272;;
24.022;0.1270528;-0.4381773;;
24.023;0.1273476;-0.4382511;;
24.023;0.1274216;-0.4382696;;
24.025;0.1276162;-0.4383182;;
24.043;0.1492444;-0.4437253;;
24.044;0.1494705;-0.4437818;;
24.045;0.1495242;-0.4437952;;
24.045;0.1495334;-0.4437975;;
24.065;0.2073956;-0.4582631;;
24.066;0.22404;-0.4624241;;
24.067;0.2247643;-0.4626052;;
24.068;0.2255121;-0.4627922;;
24.087;0.2628658;-0.4721306;;
24.088;0.2633612;-0.4722545;;
24.088;0.2633612;-0.4722545;;
24.089;0.2633612;-0.4722545;;
24.109;0.3059308;-0.4828968;;
24.109;0.3054038;-0.4827651;;
24.109;0.3054166;-0.4827683;;
24.11;0.3058259;-0.4828706;;
24.13;0.3281367;-0.4884483;;
24.131;0.3435796;-0.492309;;
24.132;0.3476424;-0.4933247;;
24.152;0.3732145;-0.4997178;;
24.158;0.3947035;-0.5050901;;
24.159;0.3948245;-0.5051203;;
24.173;0.4284043;-0.4999967;;
24.175;0.4289719;-0.4999996;;
24.1754026;;;0.908452788849872;-0.126398402461024
23.892;-0.1410715;-0.3711463;;
23.893;-0.1406279;-0.3712572;;
23.893;-0.1405519;-0.3712762;;
23.915;-0.09678556;-0.3822177;;
23.915;-0.0964612;-0.3822988;;
23.916;-0.09628589;-0.3823427;;
23.917;-0.09628589;-0.3823427;;
23.918;-0.09628589;-0.3823427;;
23.935;-0.03921989;-0.3966092;;
23.936;-0.03921989;-0.3966092;;
23.957;-0.006854907;-0.4047004;;
23.958;-0.006580238;-0.4047691;;
23.958;-0.006552004;-0.4047762;;
23.959;-0.006460594;-0.404799;;
23.979;0.03854685;-0.4160509;;
23.98;0.03854685;-0.4160509;;
23.981;0.03854685;-0.4160509;;
23.981;0.03854685;-0.4160509;;
24.001;0.0828522;-0.4271272;;
24.001;0.0828522;-0.4271272;;
24.002;0.0828522;-0.4271272;;
24.003;0.0828522;-0.4271272;;
24.022;0.1270528;-0.4381773;;
24.023;0.1273476;-0.4382511;;
24.023;0.1274216;-0.4382696;;
24.025;0.1276162;-0.4383182;;
24.043;0.1492444;-0.4437253;;
24.044;0.1494705;-0.4437818;;
24.045;0.1495242;-0.4437952;;
24.045;0.1495334;-0.4437975;;
24.065;0.2073956;-0.4582631;;
24.066;0.22404;-0.4624241;;
24.067;0.2247643;-0.4626052;;
24.068;0.2255121;-0.4627922;;
24.087;0.2628658;-0.4721306;;
24.088;0.2633612;-0.4722545;;
24.088;0.2633612;-0.4722545;;
24.089;0.2633612;-0.4722545;;
24.109;0.3059308;-0.4828968;;
24.109;0.3054038;-0.4827651;;
24.109;0.3054166;-0.4827683;;
24.11;0.3058259;-0.4828706;;
24.13;0.3281367;-0.4884483;;
24.131;0.3435796;-0.492309;;
24.132;0.3476424;-0.4933247;;
24.152;0.3732145;-0.4997178;;
24.158;0.3947035;-0.5050901;;
24.159;0.3948245;-0.5051203;;
24.173;0.4284043;-0.4999967;;
24.175;0.4289719;-0.4999996;;
24.1864319;;;0.908452788849872;-0.125914601062562
23.915;-0.09678556;-0.3822177;;
23.915;-0.0964612;-0.3822988;;
23.916;-0.09628589;-0.3823427;;
23.917;-0.09628589;-0.3823427;;
23.918;-0.09628589;-0.3823427;;
23.935;-0.03921989;-0.3966092;;
23.936;-0.03921989;-0.3966092;;
23.957;-0.006854907;-0.4047004;;
23.958;-0.006580238;-0.4047691;;
23.958;-0.006552004;-0.4047762;;
23.959;-0.006460594;-0.404799;;
23.979;0.03854685;-0.4160509;;
23.98;0.03854685;-0.4160509;;
23.981;0.03854685;-0.4160509;;
23.981;0.03854685;-0.4160509;;
24.001;0.0828522;-0.4271272;;
24.001;0.0828522;-0.4271272;;
24.002;0.0828522;-0.4271272;;
24.003;0.0828522;-0.4271272;;
24.022;0.1270528;-0.4381773;;
24.023;0.1273476;-0.4382511;;
24.023;0.1274216;-0.4382696;;
24.025;0.1276162;-0.4383182;;
24.043;0.1492444;-0.4437253;;
24.044;0.1494705;-0.4437818;;
24.045;0.1495242;-0.4437952;;
24.045;0.1495334;-0.4437975;;
24.065;0.2073956;-0.4582631;;
24.066;0.22404;-0.4624241;;
24.067;0.2247643;-0.4626052;;
24.068;0.2255121;-0.4627922;;
24.087;0.2628658;-0.4721306;;
24.088;0.2633612;-0.4722545;;
