linearCube3Timestamp;linearCube3XPos;linearCube3YPos;linearCube3newCorr;linearCube3smoothCorr
0;;;0;0
8.86;-0.6752802;0;;
8.86;-0.6752802;0;;
8.861;-0.6752802;0;;
8.88;-0.6972723;0;;
8.881;-0.697512;0;;
8.882;-0.6975473;0;;
8.883;-0.6975557;0;;
8.903;-0.7085265;0;;
8.904;-0.7198748;0;;
8.904;-0.7198748;0;;
8.905;-0.7198748;0;;
8.925;-0.7411768;0;;
8.925;-0.7414633;0;;
8.927;-0.7419214;0;;
8.927;-0.7419589;0;;
8.948;-0.7642385;0;;
8.948;-0.764413;0;;
8.949;-0.7644913;0;;
8.969;-0.7756411;0;;
8.97;-0.7758394;0;;
8.971;-0.7759017;0;;
8.972;-0.775912;0;;
8.972;-0.7759168;0;;
8.992;-0.8132163;0;;
8.993;-0.8138322;0;;
8.993;-0.8139199;0;;
9.014;-0.8205165;0;;
9.015;-0.8275216;0;;
9.016;-0.8314103;0;;
9.016;-0.8314103;0;;
9.017;-0.8314103;0;;
9.036;-0.8428371;0;;
9.037;-0.8500379;0;;
9.058;-0.8648208;0;;
9.0595216;;;0.486615344153367;0.481037213777791
9.058;-0.8648208;0;;
9.059;-0.8725514;0;;
9.06;-0.8740615;0;;
9.061;-0.8763536;0;;
9.062;-0.8763536;0;;
9.082;-0.9004532;0;;
9.083;-0.9011948;0;;
9.084;-0.9011948;0;;
9.084;-0.9011948;0;;
9.085;-0.9011948;0;;
9.104;-0.9097823;0;;
9.104;-0.9166834;0;;
9.105;-0.9201379;0;;
9.125;-0.931946;0;;
9.126;-0.9321527;0;;
9.127;-0.9322392;0;;
9.128;-0.9322392;0;;
9.128;-0.9322392;0;;
9.148;-0.9589361;0;;
9.149;-0.9630384;0;;
9.172;-0.9878283;0;;
9.172;-0.9878883;0;;
9.173;-0.988038;0;;
9.174;-0.9880838;0;;
9.174;-0.9880884;0;;
9.194;-1.010029;0;;
9.194;-1.010124;0;;
9.195;-1.010276;0;;
9.196;-1.0103;0;;
9.196;-1.010303;0;;
9.216;-1.032491;0;;
9.217;-1.032693;0;;
9.218;-1.032747;0;;
9.238;-1.054701;0;;
9.239;-1.054905;0;;
9.239;-1.054973;0;;
9.241;-1.054973;0;;
9.241;-1.054973;0;;
9.26;-1.066177;0;;
9.261;-1.075491;0;;
9.284;-1.08888;0;;
9.285;-1.089001;0;;
9.286;-1.089018;0;;
9.287;-1.089022;0;;
9.313;-1.121467;0;;
9.315;-1.121671;0;;
9.316;-1.12789;0;;
9.318;-1.132647;0;;
9.328;-1.144753;0;;
9.329;-1.144996;0;;
9.33;-1.145057;0;;
9.33;-1.145057;0;;
9.349;-1.155164;0;;
9.3502928;;;-0.170353663310906;0.315684256163078
9.349;-1.155164;0;;
9.35;-1.16334;0;;
9.351;-1.165271;0;;
9.352;-1.165646;0;;
9.353;-1.16576;0;;
9.372;-1.191549;0;;
9.373;-1.191788;0;;
9.394;-1.200076;0;;
9.395;-1.20739;0;;
9.396;-1.209989;0;;
9.397;-1.211025;0;;
9.397;-1.211182;0;;
9.416;-1.222427;0;;
9.418;-1.232347;0;;
9.418;-1.233027;0;;
9.419;-1.233661;0;;
9.42;-1.233758;0;;
9.439;-1.245205;0;;
9.44;-1.245364;0;;
9.44;-1.245373;0;;
9.461;-1.272108;0;;
9.462;-1.275364;0;;
9.462;-1.276963;0;;
9.463;-1.278142;0;;
9.464;-1.278142;0;;
9.484;-1.289289;0;;
9.485;-1.295741;0;;
9.507;-1.322377;0;;
9.507;-1.322558;0;;
9.508;-1.322865;0;;
9.509;-1.322992;0;;
9.53;-1.34552;0;;
9.531;-1.34552;0;;
9.531;-1.34552;0;;
9.532;-1.34552;0;;
9.552;-1.367498;0;;
9.553;-1.36769;0;;
9.553;-1.36771;0;;
9.554;-1.367754;0;;
9.573;-1.378876;0;;
9.573;-1.382753;0;;
9.574;-1.390034;0;;
9.575;-1.390034;0;;
9.575;-1.390034;0;;
9.596;-1.400844;0;;
9.597;-1.401033;0;;
9.617;-1.433346;0;;
9.619;-1.434397;0;;
9.619;-1.434473;0;;
9.627;-1.434538;0;;
9.628;-1.434542;0;;
9.638;-1.445692;0;;
9.639;-1.445873;0;;
9.64;-1.453171;0;;
9.6515917;;;0.425271662820537;0.297967575431347
9.638;-1.445692;0;;
9.639;-1.445873;0;;
9.64;-1.453171;0;;
9.66;-1.46792;0;;
9.662;-1.468361;0;;
9.663;-1.468441;0;;
9.664;-1.46846;0;;
9.665;-1.468464;0;;
9.684;-1.492803;0;;
9.685;-1.497749;0;;
9.686;-1.501155;0;;
9.687;-1.501624;0;;
9.707;-1.523298;0;;
9.708;-1.523762;0;;
9.709;-1.524114;0;;
9.728;-1.535362;0;;
9.729;-1.535481;0;;
9.73;-1.543079;0;;
9.731;-1.545466;0;;
9.731;-1.545653;0;;
9.75;-1.557588;0;;
9.751;-1.55777;0;;
9.752;-1.557848;0;;
9.773;-1.584748;0;;
9.774;-1.585016;0;;
9.775;-1.589326;0;;
9.776;-1.590503;0;;
9.776;-1.590682;0;;
9.794;-1.602297;0;;
9.796;-1.602437;0;;
9.797;-1.610605;0;;
9.819;-1.635533;0;;
9.82;-1.635768;0;;
9.821;-1.635803;0;;
9.822;-1.635814;0;;
9.841;-1.657209;0;;
9.842;-1.657649;0;;
9.843;-1.657856;0;;
9.844;-1.657998;0;;
9.844;-1.658022;0;;
9.863;-1.669118;0;;
9.864;-1.678118;0;;
9.864;-1.679659;0;;
9.886;-1.702578;0;;
9.887;-1.702786;0;;
9.888;-1.70284;0;;
9.889;-1.70284;0;;
9.889;-1.70284;0;;
9.909;-1.71382;0;;
9.91;-1.713913;0;;
9.911;-1.713943;0;;
9.911;-1.713945;0;;
9.912;-1.713953;0;;
9.931;-1.747158;0;;
9.933;-1.747535;0;;
9.9589067;;;0.49514301769097;0.309169090338492
9.959;-1.769467;0;;
9.96;-1.769471;0;;
9.96;-1.769475;0;;
9.961;-1.769482;0;;
9.962;-1.769624;0;;
9.976;-1.798644;0;;
9.977;-1.799477;0;;
9.978;-1.799605;0;;
9.998;-1.814261;0;;
10;-1.814442;0;;
10;-1.814442;0;;
10;-1.814442;0;;
10.001;-1.814442;0;;
10.021;-1.837052;0;;
10.022;-1.837052;0;;
10.022;-1.837052;0;;
10.044;-1.858855;0;;
10.045;-1.859104;0;;
10.045;-1.859104;0;;
10.046;-1.859104;0;;
10.066;-1.870137;0;;
10.067;-1.87033;0;;
10.068;-1.870387;0;;
10.069;-1.870406;0;;
10.069;-1.870409;0;;
10.089;-1.903374;0;;
10.09;-1.903657;0;;
10.091;-1.903752;0;;
10.091;-1.903753;0;;
10.092;-1.903783;0;;
10.111;-1.925513;0;;
10.111;-1.925735;0;;
10.112;-1.925993;0;;
10.135;-1.948132;0;;
10.136;-1.948441;0;;
10.137;-1.948567;0;;
10.137;-1.948584;0;;
10.138;-1.948618;0;;
10.157;-1.970797;0;;
10.158;-1.971014;0;;
10.158;-1.971048;0;;
10.159;-1.971082;0;;
10.179;-1.992668;0;;
10.179;-1.992802;0;;
10.18;-1.992918;0;;
10.201;-2.01493;0;;
10.201;-2.014977;0;;
10.202;-2.015467;0;;
10.222;-2.026685;0;;
10.223;-2.026685;0;;
10.223;-2.026685;0;;
10.224;-2.026685;0;;
10.225;-2.026685;0;;
10.244;-2.059292;0;;
10.245;-2.059778;0;;
10.246;-2.060066;0;;
10.2546906;;;0.496597652942375;0.311664667535744
10.244;-2.059292;0;;
10.245;-2.059778;0;;
10.246;-2.060066;0;;
10.267;-2.071369;0;;
10.268;-2.071501;0;;
10.269;-2.071501;0;;
10.27;-2.071501;0;;
10.289;-2.107739;0;;
10.29;-2.107739;0;;
10.291;-2.107739;0;;
10.291;-2.107739;0;;
10.311;-2.127369;0;;
10.312;-2.127369;0;;
10.313;-2.127369;0;;
10.314;-2.127369;0;;
10.334;-2.149268;0;;
10.335;-2.14947;0;;
10.335;-2.1495;0;;
10.336;-2.149548;0;;
10.337;-2.149548;0;;
10.356;-2.171528;0;;
10.357;-2.171746;0;;
10.358;-2.171803;0;;
10.378;-2.182934;0;;
10.379;-2.183072;0;;
10.38;-2.183072;0;;
10.381;-2.183072;0;;
10.401;-2.216356;0;;
10.401;-2.216356;0;;
10.403;-2.216356;0;;
10.403;-2.216356;0;;
10.42;-2.227638;0;;
10.421;-2.228063;0;;
10.423;-2.237702;0;;
10.424;-2.238982;0;;
10.445;-2.261202;0;;
10.445;-2.261202;0;;
10.446;-2.261202;0;;
10.447;-2.261202;0;;
10.468;-2.283542;0;;
10.468;-2.283542;0;;
10.469;-2.283542;0;;
10.47;-2.283542;0;;
10.491;-2.305665;0;;
10.492;-2.305928;0;;
10.493;-2.305928;0;;
10.493;-2.305928;0;;
10.512;-2.328146;0;;
10.513;-2.328384;0;;
10.514;-2.328427;0;;
10.515;-2.328437;0;;
10.535;-2.339428;0;;
10.536;-2.339428;0;;
10.537;-2.339428;0;;
10.538;-2.339428;0;;
10.5444586;;;0.495435506645546;0.478111960024857
10.559;-2.372293;0;;
10.56;-2.37259;0;;
10.56;-2.37264;0;;
10.567;-2.372688;0;;
10.581;-2.397393;0;;
10.582;-2.397841;0;;
10.583;-2.397841;0;;
10.583;-2.397841;0;;
10.604;-2.417328;0;;
10.604;-2.417467;0;;
10.605;-2.417547;0;;
10.606;-2.417562;0;;
10.625;-2.43987;0;;
10.625;-2.43987;0;;
10.626;-2.43987;0;;
10.627;-2.43987;0;;
10.648;-2.462446;0;;
10.649;-2.462446;0;;
10.65;-2.462446;0;;
10.651;-2.462446;0;;
10.668;-2.484394;0;;
10.669;-2.484654;0;;
10.67;-2.484704;0;;
10.671;-2.484717;0;;
10.691;-2.495929;0;;
10.692;-2.495929;0;;
10.693;-2.495929;0;;
10.694;-2.495929;0;;
10.714;-2.528574;0;;
10.714;-2.528761;0;;
10.716;-2.52896;0;;
10.717;-2.528982;0;;
10.736;-2.55125;0;;
10.737;-2.551471;0;;
10.737;-2.551507;0;;
10.738;-2.551541;0;;
10.758;-2.573626;0;;
10.759;-2.573854;0;;
10.76;-2.573891;0;;
10.761;-2.573897;0;;
10.781;-2.595912;0;;
10.782;-2.59614;0;;
10.783;-2.596176;0;;
10.784;-2.596181;0;;
10.784;-2.596182;0;;
10.803;-2.618448;0;;
10.804;-2.618693;0;;
10.805;-2.618736;0;;
10.827;-2.641002;0;;
10.827;-2.641002;0;;
10.828;-2.641002;0;;
10.829;-2.641002;0;;
10.848;-2.651981;0;;
10.848;-2.652129;0;;
10.849;-2.652129;0;;
10.85;-2.652129;0;;
10.8522749;;;0.403522723258943;0.472674725134458
10.848;-2.651981;0;;
10.848;-2.652129;0;;
10.849;-2.652129;0;;
10.85;-2.652129;0;;
10.87;-2.679825;0;;
10.871;-2.693385;0;;
10.872;-2.693385;0;;
10.873;-2.693385;0;;
10.891;-2.69869;0;;
10.892;-2.706089;0;;
10.893;-2.707433;0;;
10.894;-2.707729;0;;
10.914;-2.730288;0;;
10.916;-2.730288;0;;
10.917;-2.730288;0;;
10.918;-2.730288;0;;
10.938;-2.751899;0;;
10.939;-2.752177;0;;
10.939;-2.752317;0;;
10.94;-2.752432;0;;
10.96;-2.774716;0;;
10.961;-2.774947;0;;
10.962;-2.774981;0;;
10.963;-2.774991;0;;
10.984;-2.797348;0;;
10.985;-2.797348;0;;
10.986;-2.797348;0;;
10.986;-2.797348;0;;
11.005;-2.80833;0;;
11.006;-2.80845;0;;
11.007;-2.808468;0;;
11.008;-2.808471;0;;
11.009;-2.817324;0;;
11.027;-2.841349;0;;
11.028;-2.84182;0;;
11.029;-2.841972;0;;
11.049;-2.86407;0;;
11.05;-2.864264;0;;
11.051;-2.864336;0;;
11.052;-2.86435;0;;
11.071;-2.886554;0;;
11.072;-2.886766;0;;
11.072;-2.886792;0;;
11.073;-2.886842;0;;
11.092;-2.908712;0;;
11.093;-2.908947;0;;
11.094;-2.908998;0;;
11.094;-2.908998;0;;
11.113;-2.920185;0;;
11.114;-2.929421;0;;
11.115;-2.930995;0;;
11.116;-2.931235;0;;
11.134;-2.942479;0;;
11.135;-2.942633;0;;
11.136;-2.942633;0;;
11.137;-2.942633;0;;
11.1480593;;;-0.241056123601286;0.288624939811394
11.155;-2.964675;0;;
11.156;-2.965145;0;;
11.156;-2.965226;0;;
11.157;-2.965277;0;;
11.176;-2.994976;0;;
11.177;-2.995275;0;;
