largeCube3Timestamp;largeCube3XPos;largeCube3YPos;largeCube3newCorr;largeCube3smoothCorr
7.408;-1.582477;2.5;;
7.431;-1.637189;2.5;;
7.432;-1.637674;2.5;;
7.454;-1.689995;2.5;;
7.455;-1.690774;2.5;;
7.456;-1.691046;2.5;;
7.457;-1.691153;2.5;;
7.476;-1.744083;2.5;;
7.477;-1.744599;2.5;;
7.477;-1.744773;2.5;;
7.478;-1.744773;2.5;;
7.497;-1.797867;2.5;;
7.498;-1.798392;2.5;;
7.499;-1.798556;2.5;;
7.5;-1.798556;2.5;;
7.519;-1.852488;2.5;;
7.52;-1.852488;2.5;;
7.52;-1.852488;2.5;;
7.521;-1.852488;2.5;;
7.541;-1.878348;2.5;;
7.542;-1.878618;2.5;;
7.543;-1.878665;2.5;;
7.563;-1.957917;2.5;;
7.565;-1.958887;2.5;;
7.586;-2.011826;2.5;;
7.587;-2.013103;2.5;;
7.5968233;;;0.485378748295978;0.464301570449758
7.608;-2.065577;2.5;;
7.609;-2.066606;2.5;;
7.63;-2.093274;2.5;;
7.631;-2.115496;2.5;;
7.652;-2.173057;2.5;;
7.653;-2.173622;2.5;;
7.675;-2.22602;2.5;;
7.676;-2.22724;2.5;;
7.696;-2.253799;2.5;;
7.698;-2.254135;2.5;;
7.782;-2.467082;2.5;;
7.784;-2.468175;2.5;;
7.806;-2.521386;2.5;;
7.807;-2.52183;2.5;;
7.824;-2.577099;2.5;;
7.825;-2.577904;2.5;;
7.845;-2.629097;2.5;;
7.846;-2.629625;2.5;;
7.847;-2.629704;2.5;;
7.848;-2.629724;2.5;;
7.867;-2.693487;2.5;;
7.868;-2.69412;2.5;;
7.869;-2.694269;2.5;;
7.869;-2.694295;2.5;;
7.889;-2.736323;2.5;;
7.889;-2.73664;2.5;;
7.89;-2.73682;2.5;;
7.891;-2.736846;2.5;;
7.8986502;;;-0.457020690003259;0.170519204490933
7.91;-2.790507;2.5;;
7.911;-2.791066;2.5;;
7.911;-2.791162;2.5;;
7.912;-2.791205;2.5;;
7.932;-2.842525;2.5;;
7.933;-2.843284;2.5;;
7.934;-2.84359;2.5;;
7.954;-2.896523;2.5;;
7.955;-2.897467;2.5;;
7.956;-2.89783;2.5;;
7.976;-2.949632;2.5;;
7.977;-2.95046;2.5;;
7.978;-2.950939;2.5;;
7.978;-2.950939;2.5;;
