large (1)Cube1Timestamp;large (1)Cube1XPos;large (1)Cube1YPos;large (1)Cube1newCorr;large (1)Cube1smoothCorr
4.38;-2.410809;0;;
4.38;-2.409955;0;;
4.381;-2.40953;0;;
4.382;-2.40941;0;;
4.402;-2.355476;0;;
4.402;-2.355476;0;;
4.4067125;;;0.475853362921562;0.446807971531542
4.423;-2.30307;0;;
4.424;-2.302444;0;;
4.424;-2.302444;0;;
4.425;-2.302444;0;;
4.425;-2.302444;0;;
4.426;-2.302444;0;;
4.445;-2.248603;0;;
4.446;-2.248603;0;;
4.446;-2.248603;0;;
4.466;-2.195215;0;;
4.467;-2.194741;0;;
4.468;-2.194605;0;;
4.468;-2.194586;0;;
4.488;-2.141753;0;;
4.489;-2.141212;0;;
4.49;-2.141097;0;;
4.51;-2.087809;0;;
4.511;-2.087809;0;;
4.512;-2.087809;0;;
4.513;-2.087809;0;;
4.533;-2.034135;0;;
4.534;-2.033455;0;;
4.534;-2.033455;0;;
4.535;-2.033455;0;;
4.535;-2.033455;0;;
4.554;-1.981279;0;;
4.555;-1.980757;0;;
4.556;-1.980638;0;;
4.576;-1.927585;0;;
4.577;-1.927061;0;;
4.578;-1.926948;0;;
4.579;-1.926917;0;;
4.58;-1.926917;0;;
4.598;-1.874461;0;;
4.599;-1.873437;0;;
4.6;-1.873103;0;;
4.62;-1.820425;0;;
4.621;-1.819894;0;;
4.622;-1.819807;0;;
4.623;-1.819779;0;;
4.642;-1.766636;0;;
4.643;-1.766068;0;;
4.644;-1.765977;0;;
4.644;-1.765966;0;;
4.664;-1.7393;0;;
4.665;-1.719513;0;;
4.671;-1.712166;0;;
4.687;-1.659363;0;;
4.687;-1.658521;0;;
4.688;-1.658521;0;;
4.708;-1.631583;0;;
4.708;-1.631583;0;;
4.7085151;;;-0.0983643776730904;0.305859282378285
4.708;-1.631583;0;;
4.708;-1.631583;0;;
4.709;-1.609133;0;;
4.71;-1.604691;0;;
4.729;-1.577986;0;;
4.73;-1.577986;0;;
4.73;-1.577986;0;;
4.731;-1.555444;0;;
4.75;-1.525087;0;;
4.751;-1.524782;0;;
4.751;-1.524729;0;;
4.752;-1.5247;0;;
4.771;-1.471669;0;;
4.772;-1.47113;0;;
4.772;-1.471038;0;;
4.773;-1.470985;0;;
4.793;-1.417511;0;;
4.793;-1.417511;0;;
4.793;-1.417511;0;;
4.814;-1.364443;0;;
4.814;-1.364343;0;;
4.815;-1.363796;0;;
4.815;-1.363796;0;;
4.835;-1.311029;0;;
4.837;-1.31046;0;;
4.837;-1.310433;0;;
4.857;-1.256683;0;;
4.858;-1.256016;0;;
4.859;-1.256016;0;;
4.859;-1.256016;0;;
4.86;-1.256016;0;;
4.879;-1.203011;0;;
4.88;-1.202321;0;;
4.901;-1.149797;0;;
4.901;-1.149797;0;;
4.902;-1.149797;0;;
4.902;-1.149797;0;;
4.922;-1.096454;0;;
4.923;-1.09578;0;;
4.924;-1.09578;0;;
4.924;-1.09578;0;;
4.946;-1.042099;0;;
4.989;-0.9357654;0;;
