smallCube3Timestamp;smallCube3XPos;smallCube3YPos;smallCube3newCorr;smallCube3smoothCorr
5.775;1.344812;1;;
5.791;1.35873;1;;
5.792;1.37556;1;;
5.793;1.380025;1;;
5.793;1.380733;1;;
5.812;1.402968;1;;
5.812;1.403116;1;;
5.813;1.40324;1;;
5.814;1.421481;1;;
5.833;1.447698;1;;
5.834;1.447958;1;;
5.834;1.448002;1;;
5.855;1.491842;1;;
5.855;1.492153;1;;
5.856;1.492369;1;;
5.857;1.492369;1;;
5.857;1.492369;1;;
5.8701521;;;0.262673393657611;-0.298830175671942
5.876;1.536322;1;;
5.877;1.53689;1;;
5.878;1.53689;1;;
5.897;1.581598;1;;
5.898;1.582056;1;;
5.899;1.582149;1;;
5.899;1.582165;1;;
5.965;1.715329;1;;
5.967;1.715781;1;;
5.968;1.715819;1;;
5.968;1.715825;1;;
5.969;1.715834;1;;
5.97;1.715834;1;;
5.97;1.715834;1;;
5.971;1.738283;1;;
5.972;1.738283;1;;
5.972;1.738283;1;;
5.973;1.738283;1;;
5.974;1.738283;1;;
5.988;1.760515;1;;
5.989;1.760816;1;;
5.989;1.760921;1;;
5.99;1.760921;1;;
6.01;1.804375;1;;
6.01;1.804424;1;;
6.011;1.805491;1;;
6.012;1.805491;1;;
6.032;1.849096;1;;
6.033;1.849681;1;;
6.033;1.849969;1;;
6.034;1.850134;1;;
6.053;1.893946;1;;
6.06;1.894493;1;;
6.061;1.910146;1;;
6.062;1.913994;1;;
6.074;1.916863;1;;
6.076;1.916914;1;;
6.077;1.941562;1;;
6.097;1.983689;1;;
6.098;1.983689;1;;
6.098;1.983689;1;;
6.099;1.983689;1;;
6.099;1.983689;1;;
6.119;2.027914;1;;
6.12;2.02891;1;;
6.122;2.029517;1;;
6.143;2.073647;1;;
6.143;2.074183;1;;
6.144;2.074183;1;;
6.145;2.074183;1;;
6.164;2.117478;1;;
6.165;2.118043;1;;
6.166;2.118043;1;;
6.166;2.118043;1;;
6.167;2.118043;1;;
6.1719522;;;0.483804222959562;-0.0581896198834302
6.186;2.162484;1;;
6.186;2.162775;1;;
6.187;2.163027;1;;
