small (1)Cube1Timestamp;small (1)Cube1XPos;small (1)Cube1YPos;small (1)Cube1newCorr;small (1)Cube1smoothCorr
5.2420915;;;-0.462185224151054;-0.0890448512732871
5.253;-0.296489;0;;
5.253;-0.296489;0;;
5.254;-0.2793115;0;;
5.255;-0.2743836;0;;
5.275;-0.2511173;0;;
5.275;-0.2511173;0;;
5.276;-0.2511173;0;;
5.277;-0.2511173;0;;
5.296;-0.1974375;0;;
5.296;-0.1969698;0;;
5.297;-0.1967636;0;;
5.298;-0.1967359;0;;
5.317;-0.1623099;0;;
5.318;-0.1620003;0;;
5.318;-0.1619794;0;;
5.339;-0.1179811;0;;
5.339;-0.1178299;0;;
5.34;-0.1175169;0;;
5.341;-0.1174666;0;;
5.36;-0.07398647;0;;
5.361;-0.07357494;0;;
5.362;-0.07346111;0;;
5.385;-0.02891221;0;;
5.386;-0.02855381;0;;
5.387;-0.02846281;0;;
5.389;-0.006125722;0;;
5.403;0.01759128;0;;
5.403;0.01759128;0;;
5.404;0.01759128;0;;
5.405;0.01759128;0;;
5.426;0.06048373;0;;
5.427;0.06048373;0;;
5.427;0.06048373;0;;
5.428;0.06048373;0;;
5.448;0.1137367;0;;
5.449;0.1137367;0;;
5.449;0.1137367;0;;
5.45;0.1137367;0;;
5.451;0.1137367;0;;
5.47;0.1496521;0;;
5.47;0.1499568;0;;
5.471;0.1501028;0;;
5.492;0.1942004;0;;
5.493;0.1947266;0;;
5.493;0.1947266;0;;
5.494;0.1947266;0;;
5.515;0.2391798;0;;
5.516;0.2395551;0;;
5.516;0.2395906;0;;
5.517;0.2396965;0;;
5.537;0.2836063;0;;
5.538;0.2840065;0;;
5.539;0.2841212;0;;
5.539;0.2841671;0;;
5.5438916;;;-0.498066663463003;-0.138672027375805
5.537;0.2836063;0;;
5.538;0.2840065;0;;
5.539;0.2841212;0;;
5.539;0.2841671;0;;
5.56;0.3291709;0;;
5.56;0.3291709;0;;
5.561;0.3291709;0;;
5.562;0.3291709;0;;
5.581;0.373262;0;;
5.582;0.3738364;0;;
5.583;0.3738364;0;;
5.583;0.3738364;0;;
5.604;0.4279163;0;;
5.605;0.4284501;0;;
5.606;0.4285284;0;;
5.626;0.4628169;0;;
5.627;0.4631439;0;;
5.628;0.4632176;0;;
5.628;0.4632303;0;;
5.629;0.463239;0;;
5.649;0.5076644;0;;
5.65;0.5076644;0;;
5.65;0.5076644;0;;
5.651;0.5076644;0;;
5.671;0.5525369;0;;
5.672;0.5525369;0;;
5.673;0.5525369;0;;
5.673;0.5525369;0;;
5.693;0.5970639;0;;
5.694;0.5974538;0;;
5.694;0.5974786;0;;
5.695;0.5976049;0;;
5.715;0.6409197;0;;
5.715;0.641474;0;;
5.716;0.641474;0;;
5.724;0.6639246;0;;
5.736;0.6891122;0;;
5.737;0.6896321;0;;
5.737;0.6896321;0;;
5.738;0.6896321;0;;
5.759;0.7399192;0;;
5.76;0.7403592;0;;
5.76;0.7404305;0;;
5.761;0.7404994;0;;
5.781;0.7755477;0;;
5.782;0.7759923;0;;
5.783;0.7759923;0;;
5.783;0.7759923;0;;
5.802;0.8200337;0;;
5.803;0.8204721;0;;
5.804;0.820574;0;;
5.805;0.8206047;0;;
5.824;0.865513;0;;
5.825;0.865513;0;;
5.826;0.865513;0;;
5.826;0.865513;0;;
5.8456925;;;-0.492994027475529;-0.360809531439329
5.845;0.9095997;0;;
5.847;0.9101678;0;;
5.847;0.9101678;0;;
5.847;0.9101678;0;;
5.867;0.9321428;0;;
5.868;0.9323631;0;;
5.869;0.9477885;0;;
5.869;0.9554873;0;;
5.889;0.9779447;0;;
5.89;0.9779447;0;;
5.891;0.9931865;0;;
5.892;0.9999862;0;;
5.911;1.023519;0;;
5.912;1.023519;0;;
5.913;1.023519;0;;
5.914;1.05529;0;;
5.933;1.067366;0;;
5.933;1.067366;0;;
5.934;1.067366;0;;
5.954;1.111354;0;;
5.954;1.111621;0;;
5.955;1.111913;0;;
5.956;1.111913;0;;
5.975;1.156053;0;;
5.976;1.156488;0;;
5.977;1.156593;0;;
5.997;1.200644;0;;
5.998;1.2012;0;;
5.999;1.2012;0;;
5.999;1.2012;0;;
6.018;1.245497;0;;
6.019;1.245983;0;;
6.04;1.290501;0;;
6.04;1.290845;0;;
6.041;1.290995;0;;
6.042;1.291034;0;;
6.062;1.312631;0;;
6.062;1.335077;0;;
6.07;1.335077;0;;
6.07;1.335077;0;;
6.083;1.392619;0;;
6.084;1.393722;0;;
6.085;1.393722;0;;
6.085;1.393722;0;;
6.105;1.424045;0;;
6.106;1.424354;0;;
6.107;1.424403;0;;
6.107;1.424423;0;;
6.127;1.46931;0;;
6.127;1.46931;0;;
6.128;1.46931;0;;
6.129;1.46931;0;;
6.1474926;;;0.36774691600763;-0.271374749770489
6.148;1.514292;0;;
6.149;1.514292;0;;
6.15;1.514292;0;;
6.151;1.514292;0;;
6.171;1.558519;0;;
6.171;1.558519;0;;
6.172;1.558519;0;;
6.173;1.558519;0;;
6.192;1.602561;0;;
6.193;1.603131;0;;
6.194;1.603131;0;;
6.195;1.603131;0;;
6.215;1.625594;0;;
6.215;1.625594;0;;
6.216;1.625594;0;;
6.235;1.68077;0;;
6.236;1.681378;0;;
6.237;1.690863;0;;
6.238;1.692141;0;;
6.257;1.715109;0;;
6.258;1.715314;0;;
6.259;1.71538;0;;
6.259;1.71827;0;;
6.26;1.733497;0;;
6.279;1.759754;0;;
6.28;1.760099;0;;
6.305;1.826845;0;;
6.305;1.826845;0;;
6.306;1.826845;0;;
6.307;1.826845;0;;
6.307;1.826845;0;;
6.308;1.826845;0;;
6.327;1.8707;0;;
6.328;1.871136;0;;
6.328;1.871207;0;;
6.329;1.871287;0;;
6.35;1.916698;0;;
6.35;1.916698;0;;
6.351;1.916698;0;;
6.371;1.938029;0;;
6.372;1.93825;0;;
6.373;1.938282;0;;
6.373;1.938287;0;;
6.374;1.938292;0;;
6.394;2.0051;0;;
6.395;2.0051;0;;
6.396;2.0051;0;;
6.397;2.0051;0;;
6.423;2.050048;0;;
6.424;2.050411;0;;
6.425;2.05046;0;;
6.426;2.05047;0;;
6.44;2.098384;0;;
6.44;2.098444;0;;
6.441;2.099002;0;;
6.441;2.099271;0;;
6.4487912;;;0.484971122353093;-0.0345856631444525
6.461;2.139501;0;;
6.462;2.139501;0;;
6.462;2.139501;0;;
6.463;2.139501;0;;
6.483;2.161739;0;;
6.483;2.16949;0;;
6.484;2.184113;0;;
6.484;2.184113;0;;
6.504;2.207043;0;;
6.505;2.222847;0;;
6.525;2.25123;0;;
6.526;2.251464;0;;
6.526;2.251522;0;;
6.528;2.251581;0;;
6.529;2.251581;0;;
6.529;2.251581;0;;
6.548;2.307306;0;;
6.548;2.307306;0;;
6.549;2.307306;0;;
6.569;2.340265;0;;
6.57;2.340587;0;;
6.573;2.340647;0;;
6.574;2.347169;0;;
6.595;2.406795;0;;
6.596;2.407344;0;;
6.597;2.40746;0;;
6.598;2.407485;0;;
6.598;2.407489;0;;
6.617;2.452606;0;;
6.618;2.453081;0;;
