Timestamp;Name;smoothCorrel;speed;task;selected;correlationToIntendedObject;objectSize
15.4681467;1.6168005;7;;-0.01371084;45;;(4.2, 3.4);8.469227
15.4686483;1.6173021;7;;-0.5411252;45;;(4.9, 3.5);8.469227
15.4686483;1.6173021;7;;-0.457042;45;;(5.1, 4.4);8.469227
15.4686483;1.6173021;7;;0.01371081;45;;(4.6, 6.3);8.469227
15.4686483;1.6173021;7;;0.5411251;45;;(4.0, 5.6);8.469227
15.5573842;1.706038;7;;-0.6140524;30;;(9.0, 5.7);23.49317
15.5573842;1.706038;7;;0.002278299;30;;(7.5, 3.9);23.49317
15.5578852;1.706539;7;;0.5636314;30;;(10.4, 3.4);23.49317
15.5578852;1.706539;7;;0.6140524;30;;(16.9, 3.4);23.49317
15.5578852;1.706539;7;;-0.002278601;30;;(19.8, 4.3);23.49317
15.5578852;1.706539;7;;-0.009930286;45;;(4.2, 3.4);8.469227
15.5578852;1.706539;7;;-0.6225324;45;;(4.9, 3.5);8.469227
15.558387;1.7070408;7;;-0.6067818;45;;(5.1, 4.5);8.469227
15.558387;1.7070408;7;;0.00993026;45;;(4.5, 6.3);8.469227
15.558387;1.7070408;7;;0.6225323;45;;(3.9, 5.5);8.469227
15.6466211;1.7952749;7;;-0.7696978;30;;(9.2, 5.8);23.49317
15.6466211;1.7952749;7;;0.004055945;30;;(7.5, 3.9);23.49317
15.6466211;1.7952749;7;;0.6563181;30;;(10.2, 3.4);23.49317
15.6471221;1.7957759;7;;0.7696977;30;;(16.6, 3.4);23.49317
15.6471221;1.7957759;7;;-0.004056246;30;;(19.9, 4.2);23.49317
15.6471221;1.7957759;7;;-0.01170793;45;;(4.3, 3.4);8.469223
15.6471221;1.7957759;7;;-0.7781777;45;;(5.0, 3.5);8.469223
15.6471221;1.7957759;7;;-0.7624273;45;;(5.1, 4.6);8.469223
15.6471221;1.7957759;7;;0.01170791;45;;(4.5, 6.4);8.469223
15.6476237;1.7962775;7;;0.7781777;45;;(3.9, 5.3);8.469223
15.7358581;1.8845119;7;;-0.9253433;30;;(9.4, 5.9);23.49317
15.7363599;1.8850137;7;;0.005833591;30;;(7.5, 4.0);23.49317
15.7363599;1.8850137;7;;0.7490048;30;;(9.9, 3.4);23.49317
15.7363599;1.8850137;7;;0.9253432;30;;(16.4, 3.4);23.49317
15.7363599;1.8850137;7;;-0.005833892;30;;(19.9, 4.2);23.49317
15.7363599;1.8850137;7;;-0.01348558;45;;(4.3, 3.4);8.469227
15.7363599;1.8850137;7;;-0.9338232;45;;(5.0, 3.5);8.469227
15.7368611;1.8855149;7;;-0.9180727;45;;(5.1, 4.7);8.469227
15.7368611;1.8855149;7;;0.01348555;45;;(4.4, 6.4);8.469227
15.7368611;1.8855149;7;;0.9338231;45;;(3.9, 5.2);8.469227
15.8266001;1.9752539;7;;-0.8385771;30;;(9.6, 6.0);23.49317
15.8266001;1.9752539;7;;0.004758745;30;;(7.5, 4.0);23.49317
15.8266001;1.9752539;7;;0.6658428;30;;(9.7, 3.4);23.49317
15.8266001;1.9752539;7;;0.8385771;30;;(16.1, 3.4);23.49317
15.8266001;1.9752539;7;;-0.004759039;30;;(19.9, 4.1);23.49317
15.8266001;1.9752539;7;;-0.01147221;45;;(4.4, 3.4);8.469223
15.8271014;1.9757552;7;;-0.8454504;45;;(5.0, 3.5);8.469223
15.8271014;1.9757552;7;;-0.8320231;45;;(5.1, 4.9);8.469223
15.8271014;1.9757552;7;;0.01147219;45;;(4.4, 6.4);8.469223
15.8271014;1.9757552;7;;0.8454503;45;;(3.9, 5.0);8.469223
15.914333;2.0629868;7;;-0.8408481;30;;(9.8, 6.0);23.49318
15.914333;2.0629868;7;;0.004608314;30;;(7.5, 4.1);23.49318
15.9148348;2.0634886;7;;0.5830569;30;;(9.5, 3.4);23.49318
15.9148348;2.0634886;7;;0.8408481;30;;(15.7, 3.4);23.49318
15.9148348;2.0634886;7;;-0.004608571;30;;(19.9, 4.0);23.49318
15.9148348;2.0634886;7;;-0.0104826;45;;(4.4, 3.4);8.469227
15.9148348;2.0634886;7;;-0.8468623;45;;(5.1, 3.6);8.469227
15.9148348;2.0634886;7;;-0.7442043;45;;(5.0, 5.0);8.469227
15.9148348;2.0634886;7;;0.01048258;45;;(4.4, 6.4);8.469227
15.9153358;2.0639896;7;;0.8468623;45;;(3.8, 4.9);8.469227
16.0035704;2.1522242;7;;-0.8431192;30;;(10.0, 6.1);23.49318
16.0040714;2.1527252;7;;0.004457882;30;;(7.5, 4.2);23.49318
16.0040714;2.1527252;7;;0.500271;30;;(9.3, 3.4);23.49318
16.0040714;2.1527252;7;;0.8431191;30;;(15.4, 3.4);23.49318
16.0040714;2.1527252;7;;-0.004458102;30;;(19.9, 4.0);23.49318
16.0040714;2.1527252;7;;-0.009492984;45;;(4.5, 3.4);8.469227
16.0040714;2.1527252;7;;-0.8482742;45;;(5.1, 3.6);8.469227
16.004573;2.1532268;7;;-0.6563855;45;;(5.0, 5.2);8.469227
16.004573;2.1532268;7;;0.009492967;45;;(4.3, 6.4);8.469227
16.004573;2.1532268;7;;0.8482741;45;;(3.8, 4.7);8.469227
16.0928076;2.2414614;7;;-0.7164243;30;;(10.2, 6.2);23.49316
16.0933089;2.2419627;7;;0.06286532;30;;(7.5, 4.2);23.49316
16.0933089;2.2419627;7;;0.4597374;30;;(9.2, 3.4);23.49316
16.0933089;2.2419627;7;;0.7164243;30;;(15.1, 3.4);23.49316
16.0933089;2.2419627;7;;-0.06286531;30;;(19.9, 3.9);23.49316
16.0933089;2.2419627;7;;0.03544647;45;;(4.5, 3.4);8.469223
16.0933089;2.2419627;7;;-0.7223417;45;;(5.1, 3.6);8.469223
16.0933089;2.2419627;7;;-0.5295193;45;;(5.0, 5.3);8.469223
16.0933089;2.2419627;7;;-0.03544648;45;;(4.3, 6.4);8.469223
16.0938102;2.242464;7;;0.7223417;45;;(3.8, 4.6);8.469223
16.1825463;2.3312001;7;;-0.5897294;30;;(10.4, 6.2);23.49317
16.1825463;2.3312001;7;;0.1212728;30;;(7.5, 4.3);23.49317
16.1825463;2.3312001;7;;0.4192037;30;;(9.0, 3.4);23.49317
16.1830476;2.3317014;7;;0.5897294;30;;(14.8, 3.4);23.49317
16.1830476;2.3317014;7;;-0.1212725;30;;(19.8, 3.8);23.49317
16.1830476;2.3317014;7;;0.08038592;45;;(4.6, 3.4);8.469223
16.1830476;2.3317014;7;;-0.5964092;45;;(5.1, 3.7);8.469223
16.1830476;2.3317014;7;;-0.4026532;45;;(4.9, 5.5);8.469223
16.1830476;2.3317014;7;;-0.08038593;45;;(4.2, 6.3);8.469223
16.1835489;2.3322027;7;;0.5964094;45;;(3.8, 4.5);8.469223
