Timestamp;Name;smoothCorrel;speed;task;selected;correlationToIntendedObject;objectSize
9.0250022;0.1659424;6;;0.1791489;45;;(4.8, 3.4);8.469227
9.0255032;0.1664434;6;;0.2182401;45;;(5.2, 4.2);8.469227
9.0255032;0.1664434;6;;0.2153305;45;;(4.7, 6.2);8.469227
9.1052145;0.2461547;6;;0.08974274;30;;(7.5, 4.2);23.49317
9.105716;0.2466562;6;;0.2103106;30;;(9.2, 3.4);23.49317
9.105716;0.2466562;6;;-0.0874771;30;;(15.1, 3.4);23.49317
9.105716;0.2466562;6;;-0.0897205;30;;(19.9, 3.9);23.49317
9.105716;0.2466562;6;;-0.2103103;30;;(16.7, 5.8);23.49317
9.105716;0.2466562;6;;-0.2076048;45;;(3.8, 3.8);8.469223
9.106217;0.2471572;6;;-0.2137816;45;;(4.2, 3.4);8.469223
9.106217;0.2471572;6;;0.0835581;45;;(4.9, 3.5);8.469223
9.106217;0.2471572;6;;0.2075816;45;;(5.1, 4.3);8.469223
9.106217;0.2471572;6;;0.2137814;45;;(4.6, 6.2);8.469223
9.1859291;0.3268693;6;;0.002673538;30;;(7.5, 4.3);23.49317
9.1859291;0.3268693;6;;0.1824028;30;;(9.0, 3.4);23.49317
9.1864304;0.3273706;6;;0.00321622;30;;(14.9, 3.4);23.49317
9.1864304;0.3273706;6;;-0.002656116;30;;(19.8, 3.8);23.49317
9.1864304;0.3273706;6;;-0.1824026;30;;(17.0, 5.7);23.49317
9.1864304;0.3273706;6;;-0.1755092;45;;(3.8, 3.7);8.469223
9.1864304;0.3273706;6;;-0.1872909;45;;(4.2, 3.4);8.469223
9.1864304;0.3273706;6;;-0.009005327;45;;(4.9, 3.5);8.469223
9.1869316;0.3278718;6;;0.1754907;45;;(5.1, 4.4);8.469223
9.1869316;0.3278718;6;;0.1872908;45;;(4.6, 6.3);8.469223
9.2651401;0.4060803;6;;-0.1029841;30;;(7.5, 4.4);23.49317
9.2656414;0.4065816;6;;0.1464886;30;;(8.9, 3.5);23.49317
9.2656414;0.4065816;6;;0.1057463;30;;(14.6, 3.4);23.49317
9.2656414;0.4065816;6;;0.1029986;30;;(19.7, 3.8);23.49317
9.2656414;0.4065816;6;;-0.1464884;30;;(17.2, 5.6);23.49317
9.2656414;0.4065816;6;;-0.1428354;45;;(3.8, 3.7);8.469227
9.2656414;0.4065816;6;;-0.1533747;45;;(4.2, 3.4);8.469227
9.2661427;0.4070829;6;;-0.1119599;45;;(4.9, 3.5);8.469227
9.2661427;0.4070829;6;;0.1428199;45;;(5.1, 4.5);8.469227
9.2661427;0.4070829;6;;0.1533746;45;;(4.5, 6.3);8.469227
9.3418438;0.482784;6;;-0.1618608;30;;(7.6, 4.4);23.49317
9.3418438;0.482784;6;;0.173501;30;;(8.7, 3.5);23.49317
9.3418438;0.482784;6;;0.1646753;30;;(14.3, 3.4);23.49317
9.3418438;0.482784;6;;0.1618733;30;;(19.7, 3.7);23.49317
9.3418438;0.482784;6;;-0.1735009;30;;(17.4, 5.5);23.49317
9.3423453;0.4832855;6;;-0.1708993;45;;(3.8, 3.6);8.469223
9.3423453;0.4832855;6;;-0.1751101;45;;(4.3, 3.4);8.469223
9.3423453;0.4832855;6;;-0.1661742;45;;(5.0, 3.5);8.469223
9.3423453;0.4832855;6;;0.170886;45;;(5.1, 4.6);8.469223
9.3423453;0.4832855;6;;0.1751103;45;;(4.5, 6.4);8.469223
9.4180465;0.5589867;6;;-0.1565785;30;;(7.6, 4.5);23.49317
9.4180465;0.5589867;6;;0.2422737;30;;(8.6, 3.5);23.49317
9.4180465;0.5589867;6;;0.1621649;30;;(14.0, 3.4);23.49317
9.4180465;0.5589867;6;;0.1565896;30;;(19.6, 3.7);23.49317
9.4185477;0.5594879;6;;-0.2422736;30;;(17.7, 5.5);23.49317
9.4185477;0.5594879;6;;-0.2370154;45;;(3.8, 3.6);8.469223
9.4185477;0.5594879;6;;-0.2397825;45;;(4.3, 3.4);8.469223
9.4185477;0.5594879;6;;-0.162347;45;;(5.0, 3.5);8.469223
9.4185477;0.5594879;6;;0.2370038;45;;(5.1, 4.7);8.469223
9.4185477;0.5594879;6;;0.2397828;45;;(4.4, 6.4);8.469223
9.5042758;0.645216;6;;-0.1411668;30;;(7.7, 4.5);23.49318
9.504777;0.6457172;6;;0.3083532;30;;(8.5, 3.5);23.49318
9.504777;0.6457172;6;;0.1457515;30;;(13.8, 3.4);23.49318
9.504777;0.6457172;6;;0.1411766;30;;(19.5, 3.7);23.49318
9.504777;0.6457172;6;;-0.3083531;30;;(17.9, 5.4);23.49318
9.504777;0.6457172;6;;-0.3031615;45;;(3.8, 3.6);8.469227
9.504777;0.6457172;6;;-0.3099198;45;;(4.4, 3.4);8.469227
9.5052786;0.6462188;6;;-0.1484599;45;;(5.0, 3.5);8.469227
9.5052786;0.6462188;6;;0.3031511;45;;(5.1, 4.9);8.469227
9.5052786;0.6462188;6;;0.3099205;45;;(4.4, 6.4);8.469227
9.5729584;0.7138986;6;;-0.125407;30;;(7.7, 4.6);23.49317
9.5729584;0.7138986;6;;0.3415281;30;;(8.4, 3.5);23.49317
9.5729584;0.7138986;6;;0.1290987;30;;(13.5, 3.4);23.49317
9.5734599;0.7144001;6;;0.1254162;30;;(19.4, 3.6);23.49317
9.5734599;0.7144001;6;;-0.3415293;30;;(18.1, 5.3);23.49317
9.5734599;0.7144001;6;;-0.3357616;45;;(3.8, 3.5);8.469227
9.5734599;0.7144001;6;;-0.3490656;45;;(4.4, 3.4);8.469227
9.5734599;0.7144001;6;;-0.1352193;45;;(5.1, 3.6);8.469227
9.5734599;0.7144001;6;;0.3357523;45;;(5.0, 5.0);8.469227
9.5739612;0.7149014;6;;0.3490667;45;;(4.4, 6.4);8.469227
9.6501638;0.791104;6;;-0.09329586;30;;(7.8, 4.7);23.49318
9.6506651;0.7916053;6;;0.3487868;30;;(8.3, 3.5);23.49318
9.6506651;0.7916053;6;;0.09609693;30;;(13.2, 3.4);23.49318
9.6506651;0.7916053;6;;0.09330443;30;;(19.2, 3.6);23.49318
9.6506651;0.7916053;6;;-0.3487887;30;;(18.3, 5.2);23.49318
9.6506651;0.7916053;6;;-0.3420543;45;;(3.9, 3.5);8.469227
9.6506651;0.7916053;6;;-0.3646954;45;;(4.4, 3.4);8.469227
9.6506651;0.7916053;6;;-0.1059742;45;;(5.1, 3.6);8.469227
9.6506651;0.7916053;6;;0.3420458;45;;(5.0, 5.1);8.469227
9.6511664;0.7921066;6;;0.3646964;45;;(4.3, 6.4);8.469227
9.7293744;0.8703146;6;;-0.02373403;30;;(7.8, 4.8);23.49318
9.7293744;0.8703146;6;;0.3067789;30;;(8.2, 3.5);23.49318
9.7293744;0.8703146;6;;0.02817805;30;;(12.9, 3.4);23.49318
9.7293744;0.8703146;6;;0.02374181;30;;(19.1, 3.6);23.49318
9.7293744;0.8703146;6;;-0.3067823;30;;(18.5, 5.1);23.49318
9.7298761;0.8708163;6;;-0.3001981;45;;(3.9, 3.5);8.469223
9.7298761;0.8708163;6;;-0.2740515;45;;(4.5, 3.4);8.469223
9.7298761;0.8708163;6;;-0.03475665;45;;(5.1, 3.6);8.469223
9.7298761;0.8708163;6;;0.3001903;45;;(5.0, 5.3);8.469223
9.7298761;0.8708163;6;;0.2740525;45;;(4.3, 6.4);8.469223
9.8075823;0.9485225;6;;0.05118359;30;;(7.9, 4.9);23.49317
9.8075823;0.9485225;6;;0.3049217;30;;(8.1, 3.5);23.49317
9.8075823;0.9485225;6;;-0.04407675;30;;(12.7, 3.4);23.49317
9.8080839;0.9490241;6;;-0.05117566;30;;(18.9, 3.6);23.49317
9.8080839;0.9490241;6;;-0.3049261;30;;(18.7, 5.0);23.49317
9.8080839;0.9490241;6;;-0.2972378;45;;(3.9, 3.5);8.469223
9.8080839;0.9490241;6;;-0.1985291;45;;(4.5, 3.4);8.469223
9.8080839;0.9490241;6;;0.03922157;45;;(5.1, 3.7);8.469223
9.8080839;0.9490241;6;;0.29723;45;;(4.9, 5.4);8.469223
9.8080839;0.9490241;6;;0.19853;45;;(4.2, 6.3);8.469223
9.8857903;1.0267305;6;;0.07946344;30;;(8.0, 5.0);23.49318
9.8857903;1.0267305;6;;0.2790008;30;;(8.0, 3.6);23.49318
9.8857903;1.0267305;6;;-0.07162881;30;;(12.4, 3.4);23.49318
9.8862916;1.0272318;6;;-0.07946326;30;;(18.8, 3.6);23.49318
9.8862916;1.0272318;6;;-0.2790062;30;;(18.8, 4.9);23.49318
9.8862916;1.0272318;6;;-0.2692728;45;;(3.9, 3.5);8.469227
9.8862916;1.0272318;6;;-0.1007065;45;;(4.6, 3.4);8.469227
9.8862916;1.0272318;6;;0.0641525;45;;(5.1, 3.7);8.469227
9.8862916;1.0272318;6;;0.2692726;45;;(4.9, 5.5);8.469227
9.8867931;1.0277333;6;;0.1007075;45;;(4.2, 6.3);8.469227
9.9639993;1.1049395;6;;0.1620179;30;;(8.1, 5.1);23.49317
9.9639993;1.1049395;6;;0.2500878;30;;(7.9, 3.6);23.49317
9.9639993;1.1049395;6;;-0.155409;30;;(12.2, 3.4);23.49317
9.9639993;1.1049395;6;;-0.1620165;30;;(18.6, 3.5);23.49317
9.9645001;1.1054403;6;;-0.2500941;30;;(19.0, 4.8);23.49317
9.9645001;1.1054403;6;;-0.2403725;45;;(4.0, 3.5);8.469223
9.9645001;1.1054403;6;;0.0006970976;45;;(4.6, 3.4);8.469223
9.9645001;1.1054403;6;;0.1459553;45;;(5.1, 3.8);8.469223
9.9645001;1.1054403;6;;0.2403723;45;;(4.9, 5.7);8.469223
9.9645001;1.1054403;6;;-0.0006960687;45;;(4.2, 6.2);8.469223
10.041705;1.1826452;6;;0.2535333;30;;(8.2, 5.1);23.49317
10.041705;1.1826452;6;;0.2326416;30;;(7.8, 3.6);23.49317
10.041705;1.1826452;6;;-0.2496383;30;;(11.9, 3.4);23.49317
10.041705;1.1826452;6;;-0.2535312;30;;(18.4, 3.5);23.49317
10.041705;1.1826452;6;;-0.2326488;30;;(19.1, 4.8);23.49317
10.041705;1.1826452;6;;-0.2245898;45;;(4.0, 3.4);8.469223
10.041705;1.1826452;6;;0.09082171;45;;(4.7, 3.4);8.469223
10.0422073;1.1831475;6;;0.2386503;45;;(5.2, 3.9);8.469223
10.0422073;1.1831475;6;;0.2245897;45;;(4.8, 5.8);8.469223
10.0422073;1.1831475;6;;-0.09082066;45;;(4.1, 6.2);8.469223
10.1219184;1.2628586;6;;0.3597549;30;;(8.3, 5.2);23.49318
10.1219184;1.2628586;6;;0.2260185;30;;(7.7, 3.6);23.49318
10.1219184;1.2628586;6;;-0.3583776;30;;(11.7, 3.4);23.49318
10.1219184;1.2628586;6;;-0.3597521;30;;(18.2, 3.5);23.49318
10.1224199;1.2633601;6;;-0.2260266;30;;(19.3, 4.7);23.49318
10.1224199;1.2633601;6;;-0.2195137;45;;(4.0, 3.4);8.469223
10.1224199;1.2633601;6;;0.1702958;45;;(4.7, 3.4);8.469223
10.1224199;1.2633601;6;;0.3460156;45;;(5.2, 4.0);8.469223
10.1224199;1.2633601;6;;0.2195136;45;;(4.8, 5.9);8.469223
10.1229217;1.2638619;6;;-0.1702948;45;;(4.1, 6.1);8.469223
10.198121;1.3390612;6;;0.4897822;30;;(8.4, 5.3);23.49317
10.1986223;1.3395625;6;;0.2280498;30;;(7.7, 3.6);23.49317
10.1986223;1.3395625;6;;-0.4881509;30;;(11.4, 3.4);23.49317
10.1986223;1.3395625;6;;-0.489779;30;;(18.0, 3.5);23.49317
10.1986223;1.3395625;6;;-0.2280589;30;;(19.4, 4.6);23.49317
10.1986223;1.3395625;6;;-0.2200761;45;;(4.1, 3.4);8.469227
10.1991241;1.3400643;6;;0.2416421;45;;(4.7, 3.4);8.469227
10.1991241;1.3400643;6;;0.4740038;45;;(5.2, 4.1);8.469227
10.1991241;1.3400643;6;;0.2200759;45;;(4.8, 6.0);8.469227
10.1991241;1.3400643;6;;-0.241641;45;;(4.1, 6.0);8.469227
10.2753267;1.4162669;6;;0.6101303;30;;(8.5, 5.4);23.49318
10.2753267;1.4162669;6;;0.1993597;30;;(7.6, 3.7);23.49318
10.275828;1.4167682;6;;-0.6095785;30;;(11.2, 3.4);23.49318
10.275828;1.4167682;6;;-0.6101266;30;;(17.8, 3.5);23.49318
10.275828;1.4167682;6;;-0.1993697;30;;(19.5, 4.5);23.49318
10.275828;1.4167682;6;;-0.1906537;45;;(4.1, 3.4);8.469227
10.275828;1.4167682;6;;0.3397991;45;;(4.8, 3.4);8.469227
10.275828;1.4167682;6;;0.5907193;45;;(5.2, 4.1);8.469227
10.275828;1.4167682;6;;0.1906536;45;;(4.7, 6.1);8.469227
10.275828;1.4167682;6;;-0.3397981;45;;(4.0, 5.9);8.469227
10.3535345;1.4944747;6;;0.6975185;30;;(8.6, 5.5);23.49317
10.3540357;1.4949759;6;;0.1383273;30;;(7.6, 3.7);23.49317
10.3540357;1.4949759;6;;-0.6998681;30;;(11.0, 3.4);23.49317
10.3540357;1.4949759;6;;-0.6975143;30;;(17.6, 3.5);23.49317
10.3545373;1.4954775;6;;-0.1383382;30;;(19.6, 4.5);23.49317
10.3545373;1.4954775;6;;-0.1311859;45;;(4.1, 3.4);8.469227
10.3545373;1.4954775;6;;0.4702033;45;;(4.8, 3.4);8.469227
10.3545373;1.4954775;6;;0.6777762;45;;(5.2, 4.2);8.469227
10.3545373;1.4954775;6;;0.1311858;45;;(4.7, 6.1);8.469227
10.3545373;1.4954775;6;;-0.4702024;45;;(4.0, 5.8);8.469227
10.4322437;1.5731839;6;;0.7764293;30;;(8.8, 5.6);23.49317
10.4322437;1.5731839;6;;0.06785275;30;;(7.6, 3.8);23.49317
10.4322437;1.5731839;6;;-0.779312;30;;(10.8, 3.4);23.49317
10.4322437;1.5731839;6;;-0.7764246;30;;(17.4, 3.5);23.49317
10.4327453;1.5736855;6;;-0.06786451;30;;(19.7, 4.4);23.49317
10.4327453;1.5736855;6;;-0.06067622;45;;(4.2, 3.4);8.469223
10.4327453;1.5736855;6;;0.6154849;45;;(4.9, 3.5);8.469223
10.4327453;1.5736855;6;;0.7566502;45;;(5.1, 4.3);8.469223
10.4327453;1.5736855;6;;0.06067611;45;;(4.6, 6.2);8.469223
10.4327453;1.5736855;6;;-0.6154843;45;;(4.0, 5.7);8.469223
10.5104517;1.6513919;6;;0.8524813;30;;(8.9, 5.7);23.49317
10.510953;1.6518932;6;;0.01378531;30;;(7.5, 3.8);23.49317
10.510953;1.6518932;6;;-0.8558208;30;;(10.5, 3.4);23.49317
10.510953;1.6518932;6;;-0.8524764;30;;(17.1, 3.5);23.49317
10.510953;1.6518932;6;;-0.01379701;30;;(19.8, 4.3);23.49317
10.5114543;1.6523945;6;;-0.007097151;45;;(4.2, 3.4);8.469227
10.5114543;1.6523945;6;;0.7466298;45;;(4.9, 3.5);8.469227
10.5114543;1.6523945;6;;0.8337485;45;;(5.1, 4.4);8.469227
10.5114543;1.6523945;6;;0.007097049;45;;(4.6, 6.3);8.469227
10.5114543;1.6523945;6;;-0.7466295;45;;(3.9, 5.6);8.469227
10.586162;1.7271022;6;;0.8784779;30;;(9.1, 5.7);23.49317
10.586162;1.7271022;6;;-0.004858966;30;;(7.5, 3.9);23.49317
10.586162;1.7271022;6;;-0.8782921;30;;(10.3, 3.4);23.49317
10.5866643;1.7276045;6;;-0.8784732;30;;(16.9, 3.4);23.49317
10.5866643;1.7276045;6;;0.004848084;30;;(19.8, 4.3);23.49317
10.5866643;1.7276045;6;;0.01114118;45;;(4.2, 3.4);8.469223
10.5866643;1.7276045;6;;0.836109;45;;(4.9, 3.5);8.469223
10.5866643;1.7276045;6;;0.8622491;45;;(5.1, 4.5);8.469223
10.5866643;1.7276045;6;;-0.01114127;45;;(4.5, 6.3);8.469223
10.5866643;1.7276045;6;;-0.8361088;45;;(3.9, 5.4);8.469223
10.6648721;1.8058123;6;;0.8239493;30;;(9.2, 5.8);23.49318
10.6648721;1.8058123;6;;0.02115821;30;;(7.5, 3.9);23.49318
10.6653733;1.8063135;6;;-0.8239534;30;;(10.1, 3.4);23.49318
10.6653733;1.8063135;6;;-0.8239444;30;;(16.6, 3.4);23.49318
10.6653733;1.8063135;6;;-0.02116743;30;;(19.9, 4.2);23.49318
10.6653733;1.8063135;6;;-0.01501935;45;;(4.3, 3.4);8.469223
10.6653733;1.8063135;6;;0.7838442;45;;(5.0, 3.5);8.469223
10.6653733;1.8063135;6;;0.8070554;45;;(5.1, 4.6);8.469223
10.6653733;1.8063135;6;;0.01501929;45;;(4.5, 6.4);8.469223
10.6653733;1.8063135;6;;-0.7838439;45;;(3.9, 5.3);8.469223
10.7541095;1.8950497;6;;0.7463511;30;;(9.4, 5.9);23.49317
10.7546103;1.8955505;6;;0.02053061;30;;(7.5, 4.0);23.49317
10.7546103;1.8955505;6;;-0.7487934;30;;(9.9, 3.4);23.49317
10.7546103;1.8955505;6;;-0.7463464;30;;(16.3, 3.4);23.49317
10.7546103;1.8955505;6;;-0.02053878;30;;(19.9, 4.1);23.49317
10.7546103;1.8955505;6;;-0.01550904;45;;(4.3, 3.4);8.469223
10.7551115;1.8960517;6;;0.7057313;45;;(5.0, 3.5);8.469223
10.7551115;1.8960517;6;;0.7304698;45;;(5.1, 4.8);8.469223
10.7551115;1.8960517;6;;0.01550899;45;;(4.4, 6.4);8.469223
10.7551115;1.8960517;6;;-0.7057311;45;;(3.9, 5.1);8.469223
10.8438477;1.9847879;6;;0.6689298;30;;(9.6, 6.0);23.49317
10.8438477;1.9847879;6;;0.02125612;30;;(7.5, 4.0);23.49317
10.844349;1.9852892;6;;-0.6705531;30;;(9.7, 3.4);23.49317
10.844349;1.9852892;6;;-0.6689256;30;;(16.0, 3.4);23.49317
10.844349;1.9852892;6;;-0.02126337;30;;(19.9, 4.1);23.49317
10.844349;1.9852892;6;;-0.01665785;45;;(4.4, 3.4);8.469227
10.844349;1.9852892;6;;0.6330345;45;;(5.0, 3.5);8.469227
10.844349;1.9852892;6;;0.6547093;45;;(5.1, 4.9);8.469227
10.844349;1.9852892;6;;0.01665781;45;;(4.4, 6.4);8.469227
10.84485;1.9857902;6;;-0.6330343;45;;(3.8, 5.0);8.469227
10.9230583;2.0639985;6;;0.5915084;30;;(9.8, 6.0);23.49317
10.92356;2.0645002;6;;0.02198162;30;;(7.5, 4.1);23.49317
10.92356;2.0645002;6;;-0.5923129;30;;(9.6, 3.4);23.49317
10.92356;2.0645002;6;;-0.5915048;30;;(15.8, 3.4);23.49317
10.92356;2.0645002;6;;-0.02198796;30;;(19.9, 4.0);23.49317
10.92356;2.0645002;6;;-0.01780667;45;;(4.4, 3.4);8.469223
10.92356;2.0645002;6;;0.5603378;45;;(5.1, 3.6);8.469223
10.9240608;2.065001;6;;0.5789489;45;;(5.0, 5.0);8.469223
10.9240608;2.065001;6;;0.01780663;45;;(4.4, 6.4);8.469223
10.9240608;2.065001;6;;-0.5603376;45;;(3.8, 4.9);8.469223
11.0107919;2.1517321;6;;0.5140871;30;;(10.0, 6.1);23.49317
11.0107919;2.1517321;6;;0.02270713;30;;(7.5, 4.2);23.49317
11.0107919;2.1517321;6;;-0.5140727;30;;(9.3, 3.4);23.49317
11.0107919;2.1517321;6;;-0.514084;30;;(15.4, 3.4);23.49317
11.0107919;2.1517321;6;;-0.02271256;30;;(19.9, 4.0);23.49317
11.0112929;2.1522331;6;;-0.01895548;45;;(4.5, 3.4);8.469227
11.0112929;2.1522331;6;;0.487641;45;;(5.1, 3.6);8.469227
11.0112929;2.1522331;6;;0.5031884;45;;(5.0, 5.2);8.469227
11.0117939;2.1527341;6;;0.01895545;45;;(4.3, 6.4);8.469227
11.0117939;2.1527341;6;;-0.4876409;45;;(3.8, 4.7);8.469227
11.1000291;2.2409693;6;;0.4366658;30;;(10.2, 6.2);23.49317
11.1000291;2.2409693;6;;0.02343263;30;;(7.5, 4.2);23.49317
11.1000291;2.2409693;6;;-0.4358325;30;;(9.2, 3.4);23.49317
11.1000291;2.2409693;6;;-0.4366632;30;;(15.1, 3.4);23.49317
11.1000291;2.2409693;6;;-0.02343715;30;;(19.9, 3.9);23.49317
11.1005309;2.2414711;6;;-0.0201043;45;;(4.5, 3.4);8.469223
11.1005309;2.2414711;6;;0.4149442;45;;(5.1, 3.6);8.469223
11.1005309;2.2414711;6;;0.4274279;45;;(5.0, 5.3);8.469223
11.1005309;2.2414711;6;;0.02010428;45;;(4.3, 6.4);8.469223
11.1005309;2.2414711;6;;-0.4149441;45;;(3.8, 4.6);8.469223
11.1892671;2.3302073;6;;0.3592445;30;;(10.4, 6.2);23.49318
11.1892671;2.3302073;6;;0.02415814;30;;(7.5, 4.3);23.49318
11.1892671;2.3302073;6;;-0.3575923;30;;(9.0, 3.4);23.49318
11.1897681;2.3307083;6;;-0.3592424;30;;(14.8, 3.4);23.49318
11.1897681;2.3307083;6;;-0.02416174;30;;(19.8, 3.8);23.49318
11.1897681;2.3307083;6;;-0.02125311;45;;(4.6, 3.4);8.469223
11.1897681;2.3307083;6;;0.3422475;45;;(5.1, 3.7);8.469223
11.1897681;2.3307083;6;;0.3516675;45;;(4.9, 5.5);8.469223
11.1897681;2.3307083;6;;0.0212531;45;;(4.2, 6.3);8.469223
11.1897681;2.3307083;6;;-0.3422474;45;;(3.8, 4.5);8.469223
11.279005;2.4199452;6;;0.2818232;30;;(10.7, 6.3);23.49318
11.279005;2.4199452;6;;0.02488365;30;;(7.5, 4.4);23.49318
11.279005;2.4199452;6;;-0.2793521;30;;(8.8, 3.5);23.49318
11.279005;2.4199452;6;;-0.2818216;30;;(14.5, 3.4);23.49318
11.279005;2.4199452;6;;-0.02488634;30;;(19.7, 3.8);23.49318
11.2795063;2.4204465;6;;-0.02240193;45;;(4.6, 3.4);8.469219
11.2795063;2.4204465;6;;0.2695507;45;;(5.1, 3.8);8.469219
11.2795063;2.4204465;6;;0.275907;45;;(4.9, 5.6);8.469219
11.2795063;2.4204465;6;;0.02240192;45;;(4.2, 6.2);8.469219
11.2795063;2.4204465;6;;-0.2695506;45;;(3.8, 4.3);8.469219
11.3677409;2.5086811;6;;0.2044018;30;;(10.9, 6.3);23.49317
11.3677409;2.5086811;6;;0.02560915;30;;(7.6, 4.4);23.49317
11.3682427;2.5091829;6;;-0.2011119;30;;(8.7, 3.5);23.49317
11.3682427;2.5091829;6;;-0.2044008;30;;(14.2, 3.4);23.49317
11.3682427;2.5091829;6;;-0.02561093;30;;(19.6, 3.7);23.49317
11.3682427;2.5091829;6;;-0.02355075;45;;(4.7, 3.4);8.469227
11.3682427;2.5091829;6;;0.196854;45;;(5.2, 3.9);8.469227
11.3682427;2.5091829;6;;0.2001466;45;;(4.8, 5.8);8.469227
11.3682427;2.5091829;6;;0.02355074;45;;(4.1, 6.2);8.469227
11.3682427;2.5091829;6;;-0.1968539;45;;(3.8, 4.2);8.469227
11.4569789;2.5979191;6;;0.1269805;30;;(11.2, 6.3);23.49317
11.4569789;2.5979191;6;;0.02633466;30;;(7.6, 4.5);23.49317
11.4574797;2.5984199;6;;-0.1228717;30;;(8.5, 3.5);23.49317
11.4574797;2.5984199;6;;-0.12698;30;;(13.9, 3.4);23.49317
11.4574797;2.5984199;6;;-0.02633553;30;;(19.5, 3.7);23.49317
11.4574797;2.5984199;6;;-0.02469956;45;;(4.7, 3.4);8.469227
11.4574797;2.5984199;6;;0.1241572;45;;(5.2, 4.0);8.469227
11.4574797;2.5984199;6;;0.1243861;45;;(4.8, 5.9);8.469227
11.4574797;2.5984199;6;;0.02469956;45;;(4.1, 6.1);8.469227
11.4579809;2.5989211;6;;-0.1241571;45;;(3.8, 4.1);8.469227
11.5462156;2.6871558;6;;0.04955918;30;;(11.5, 6.4);23.49318
11.5462156;2.6871558;6;;0.02706016;30;;(7.7, 4.6);23.49318
11.5467174;2.6876576;6;;-0.04463153;30;;(8.4, 3.5);23.49318
11.5467174;2.6876576;6;;-0.04955916;30;;(13.6, 3.4);23.49318
11.5467174;2.6876576;6;;-0.02706012;30;;(19.4, 3.6);23.49318
11.5467174;2.6876576;6;;-0.02584838;45;;(4.8, 3.4);8.469227
11.5467174;2.6876576;6;;0.05146042;45;;(5.2, 4.1);8.469227
11.5467174;2.6876576;6;;0.04862563;45;;(4.7, 6.0);8.469227
11.5467174;2.6876576;6;;0.02584838;45;;(4.1, 6.0);8.469227
11.5472181;2.6881583;6;;-0.05146039;45;;(3.8, 4.0);8.469227
11.6259276;2.7668678;6;;0.004577977;30;;(11.7, 6.4);23.49316
11.6259276;2.7668678;6;;0.01058999;30;;(7.8, 4.7);23.49316
11.6259276;2.7668678;6;;-0.08600014;30;;(8.3, 3.5);23.49316
11.6259276;2.7668678;6;;-0.004577958;30;;(13.3, 3.4);23.49316
11.6264289;2.7673691;6;;-0.01058993;30;;(19.3, 3.6);23.49316
11.6264289;2.7673691;6;;-0.01033831;45;;(4.8, 3.4);8.469227
11.6264289;2.7673691;6;;0.005397286;45;;(5.2, 4.2);8.469227
11.6264289;2.7673691;6;;-0.07874803;45;;(4.7, 6.1);8.469227
11.6264289;2.7673691;6;;0.01033833;45;;(4.0, 5.9);8.469227
11.6264289;2.7673691;6;;-0.005397279;45;;(3.8, 4.0);8.469227
11.7046369;2.8455771;6;;-0.002680556;30;;(11.9, 6.4);23.49318
11.7046369;2.8455771;6;;-0.002484872;30;;(7.8, 4.8);23.49318
11.7046369;2.8455771;6;;-0.1637614;30;;(8.2, 3.5);23.49318
11.7046369;2.8455771;6;;0.002680569;30;;(13.0, 3.4);23.49318
11.7046369;2.8455771;6;;0.002484907;30;;(19.1, 3.6);23.49318
