gazeTimestamp;gazeXPos
636220894634219053;0
636220894634329362;0
636220894634439591;0
636220894634554897;0
636220894634665183;0
636220894634774520;0
636220894634883960;0
636220894634998661;0
636220894635114010;0
636220894635224326;0
636220894635334645;0
636220894635449453;0
636220894635559736;0
636220894635670026;0
636220894635784229;0
636220894635888891;0
636220894636004238;0
636220894636114319;0
636220894636229607;0
636220894636338781;0
636220894636449100;0
636220894636564401;0
636220894636674691;0
636220894636783894;0
636220894636899120;0
636220894637009345;0
636220894637119364;0
636220894637234696;0
636220894637344407;0
636220894637459488;0
636220894637569783;0
636220894637680077;0
636220894637789220;0
636220894637903818;0
636220894638013644;0
636220894638128838;0
636220894638239154;0
636220894638353780;0
636220894638459086;0
636220894638574392;0
636220894638684685;0
636220894638789192;0
636220894638908879;0
636220894639019024;0
636220894639133878;0
636220894639249207;0
636220894639354513;0
636220894639469553;0
636220894639579844;0
636220894639685130;0
636220894639804329;0
636220894639919436;0
636220894640023809;0
636220894640139143;0
636220894640248821;0
636220894640359129;0
636220894640469443;0
636220894640584749;0
636220894640685012;0
636220894640804326;0
636220894640919361;0
636220894641029481;0
636220894641143969;0
636220894641253828;0
636220894641368945;0
636220894641478914;0
636220894641589207;0
636220894641698741;0
636220894641814086;0
636220894641924402;0
636220894642033898;0
636220894642149229;0
636220894642258825;0
636220894642370677;0
636220894642484097;0
636220894642598943;0
636220894642709265;0
636220894642819435;0
636220894642934473;0
636220894643059107;0
636220894643154387;0
636220894643264696;0
636220894643375035;0
636220894643489585;0
636220894643599909;0
636220894643709448;0
636220894643824509;0
636220894643933913;0
636220894644049257;0
636220894644159553;0
636220894644269869;0
636220894644383923;0
636220894644489235;0
636220894644604579;0
636220894644719524;0
636220894644829434;0
636220894644938923;0
636220894645053973;0
636220894645168978;0
636220894645274113;0
636220894645389457;0
636220894645498715;0
636220894645609019;0
636220894645729399;0
636220894645834460;0
636220894645949538;0
636220894646059543;0
636220894646169634;0
636220894646279971;0
636220894646385297;0
636220894646504780;0
636220894646615079;0
636220894646729066;0
636220894646839247;0
636220894646949579;0
636220894647064903;0
636220894647174795;0
636220894647285101;0
