Gameobject;Timestamp;rx;ry;w;corrWindow;corrFreq;corrMethod;eye
circCubeCube1;25.434673;-0.877773583741843;-0.978394232792755;450;900;0.45;Pearson;BothEyes
xCubeCube2;25.434673;0.880939434377404;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;25.434673;0;0.975583120172862;450;900;0.45;Pearson;BothEyes
circCubeCube1;25.8818592;-0.802516436010354;-0.844559137929337;450;900;0.45;Pearson;BothEyes
xCubeCube2;25.8818592;0.80419483254756;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;25.8818592;0;-0.628092317977235;450;900;0.45;Pearson;BothEyes
circCubeCube1;26.3395721;0.33131762250251;-0.277790164330634;450;900;0.45;Pearson;BothEyes
xCubeCube2;26.3395721;-0.32801154766278;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;26.3395721;0;0.473329781531452;450;900;0.45;Pearson;BothEyes
circCubeCube1;26.7862568;-0.706028368858391;-0.995427894294895;450;900;0.45;Pearson;BothEyes
xCubeCube2;26.7862568;0.704275137681677;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;26.7862568;0;0.991685506716367;450;900;0.45;Pearson;BothEyes
circCubeCube1;27.232962;0.8683695081012;-0.996095315035906;450;900;0.45;Pearson;BothEyes
xCubeCube2;27.232962;-0.872288807096122;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;27.232962;0;0.996082229931024;450;900;0.45;Pearson;BothEyes
circCubeCube1;27.6801479;0.432213181373859;-0.943075530101215;450;900;0.45;Pearson;BothEyes
xCubeCube2;27.6801479;0.527292833831622;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;27.6801479;0;0.947384485353295;450;900;0.45;Pearson;BothEyes
circCubeCube1;28.1268324;-0.481838229498551;-0.969857051515361;450;900;0.45;Pearson;BothEyes
xCubeCube2;28.1268324;-0.296608088466065;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;28.1268324;0;0.969671669074219;450;900;0.45;Pearson;BothEyes
circCubeCube1;28.5735166;0.812397946199157;-0.985151417023514;450;900;0.45;Pearson;BothEyes
xCubeCube2;28.5735166;-0.790578089230491;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;28.5735166;0;0.983824504020211;450;900;0.45;Pearson;BothEyes
circCubeCube1;29.0202006;-0.911167997536954;0.904292236098133;450;900;0.45;Pearson;BothEyes
xCubeCube2;29.0202006;0.9075067736575;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;29.0202006;0;0.910180249112752;450;900;0.45;Pearson;BothEyes
circCubeCube1;29.4673873;0.931669372539137;0.991084551883797;450;900;0.45;Pearson;BothEyes
xCubeCube2;29.4673873;-0.93739272058428;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;29.4673873;0;0.98985282043558;450;900;0.45;Pearson;BothEyes
circCubeCube1;29.9145726;0.637960804137575;0.988498587731926;450;900;0.45;Pearson;BothEyes
xCubeCube2;29.9145726;-0.63988077172643;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;29.9145726;0;0.981219177969345;450;900;0.45;Pearson;BothEyes
circCubeCube1;30.3607555;0.627827821680944;-0.88874639414044;450;900;0.45;Pearson;BothEyes
xCubeCube2;30.3607555;-0.648753938260734;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;30.3607555;0;0.953542581270965;450;900;0.45;Pearson;BothEyes
circCubeCube1;30.80744;0.224871835555036;-0.912626916771431;450;900;0.45;Pearson;BothEyes
xCubeCube2;30.80744;0.243734470932066;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;30.80744;0;0.936955487629933;450;900;0.45;Pearson;BothEyes
circCubeCube1;31.254626;-0.630287870156778;0.982112478149;450;900;0.45;Pearson;BothEyes
xCubeCube2;31.254626;-0.666081301567715;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;31.254626;0;-0.977904596178454;450;900;0.45;Pearson;BothEyes
circCubeCube1;31.7013099;0.69498384078465;0.139039979750528;450;900;0.45;Pearson;BothEyes
xCubeCube2;31.7013099;0.772305498984415;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;31.7013099;0;0.406709544600664;450;900;0.45;Pearson;BothEyes
circCubeCube1;32.1484959;0.19404317195234;-0.941520665613063;450;900;0.45;Pearson;BothEyes
xCubeCube2;32.1484959;-0.846791183663761;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;32.1484959;0;-0.941111667728077;450;900;0.45;Pearson;BothEyes
circCubeCube1;32.5946789;0.544919284202009;-0.271385038553932;450;900;0.45;Pearson;BothEyes
xCubeCube2;32.5946789;-0.448835219251835;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;32.5946789;0;-0.287650799891228;450;900;0.45;Pearson;BothEyes
circCubeCube1;33.0413633;-0.943115307647931;0.9351018761817;450;900;0.45;Pearson;BothEyes
xCubeCube2;33.0413633;0.936207547040638;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;33.0413633;0;0.941993403009392;450;900;0.45;Pearson;BothEyes
circCubeCube1;33.4885488;-0.286633511412185;0.908440364675596;450;900;0.45;Pearson;BothEyes
xCubeCube2;33.4885488;-0.129421209404571;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;33.4885488;0;0.921529792456514;450;900;0.45;Pearson;BothEyes
circCubeCube1;33.9347318;0.921465321048301;-0.821580395692783;450;900;0.45;Pearson;BothEyes
xCubeCube2;33.9347318;0.922346999682713;0;450;900;0.45;Pearson;BothEyes
yCubeCube3;33.9347318;0;-0.795120588924424;450;900;0.45;Pearson;BothEyes
