xCubeCube2Timestamp;xCubeCube2XPos;xCubeCube2YPos;xCubeCube2newCorr;xCubeCube2smoothCorr
7.298;-1.682012;0;;
7.3;-1.681551;0;;
7.321;-1.637587;0;;
7.343;-1.592834;0;;
7.344;-1.592438;0;;
7.365;-1.548248;0;;
7.366;-1.547843;0;;
7.388;-1.503594;0;;
7.389;-1.503163;0;;
7.411;-1.458623;0;;
7.412;-1.458206;0;;
7.432;-1.414058;0;;
7.434;-1.413582;0;;
7.454;-1.369521;0;;
7.456;-1.369033;0;;
7.476;-1.325056;0;;
7.478;-1.324579;0;;
7.4975027;;;0.498992825022745;0.164178402213301
7.478;-1.324579;0;;
7.505;-1.279919;0;;
7.508;-1.279535;0;;
7.521;-1.229424;0;;
7.522;-1.228599;0;;
7.543;-1.190809;0;;
7.544;-1.190433;0;;
7.567;-1.145941;0;;
7.587;-1.101438;0;;
7.589;-1.100954;0;;
7.611;-1.056986;0;;
7.612;-1.056573;0;;
7.634;-1.01178;0;;
7.635;-1.011355;0;;
7.656;-0.9676734;0;;
7.658;-0.9672229;0;;
7.678;-0.9226243;0;;
7.68;-0.9221408;0;;
7.701;-0.8778736;0;;
7.702;-0.8774364;0;;
7.723;-0.8333425;0;;
7.724;-0.8329051;0;;
7.745;-0.7886136;0;;
7.746;-0.7881725;0;;
7.768;-0.7440528;0;;
7.769;-0.743652;0;;
7.791;-0.6993072;0;;
7.792;-0.6989005;0;;
7.813;-0.654618;0;;
7.815;-0.6541626;0;;
7.835;-0.6095024;0;;
7.836;-0.6090338;0;;
7.859;-0.5651277;0;;
7.86;-0.5647683;0;;
7.88;-0.5206349;0;;
7.881;-0.5201783;0;;
7.923;-0.4302483;0;;
7.924;-0.429828;0;;
7.925;-0.4297354;0;;
7.926;-0.4297133;0;;
7.9446945;;;0.49749438728421;0.496360254695845
7.926;-0.4297133;0;;
7.947;-0.3837186;0;;
7.948;-0.3832825;0;;
7.968;-0.3420559;0;;
7.97;-0.3416124;0;;
7.991;-0.2973408;0;;
7.992;-0.2969136;0;;
8.014;-0.2524836;0;;
8.015;-0.2520616;0;;
8.037;-0.2078925;0;;
8.038;-0.2074797;0;;
8.06;-0.162988;0;;
8.061;-0.1625698;0;;
8.081;-0.1184548;0;;
8.082;-0.1179856;0;;
8.105;-0.07355279;0;;
8.106;-0.07317402;0;;
8.127;-0.02931038;0;;
8.128;-0.0288732;0;;
8.149;0.01562443;0;;
8.15;0.01604902;0;;
8.172;0.0603576;0;;
8.173;0.06077431;0;;
8.194;0.1048031;0;;
8.196;0.1052562;0;;
8.217;0.1498225;0;;
8.218;0.1502074;0;;
8.219;0.1503121;0;;
8.22;0.1503509;0;;
8.239;0.1959812;0;;
8.24;0.1959812;0;;
8.241;0.1959812;0;;
8.242;0.1959812;0;;
8.261;0.2390881;0;;
8.262;0.2395132;0;;
8.262;0.2395857;0;;
8.263;0.2396381;0;;
8.283;0.2835198;0;;
8.284;0.2839473;0;;
8.284;0.2840208;0;;
8.293;0.305295;0;;
8.305;0.3324243;0;;
8.306;0.3333391;0;;
8.306;0.3334958;0;;
8.307;0.333592;0;;
8.329;0.373557;0;;
8.33;0.373557;0;;
8.33;0.373557;0;;
8.352;0.4184448;0;;
8.353;0.4184448;0;;
8.353;0.4184448;0;;
8.354;0.4184448;0;;
8.374;0.4623718;0;;
8.374;0.4625181;0;;
8.375;0.462856;0;;
8.3913843;;;0.43050425656895;0.475663822958635
8.374;0.4623718;0;;
8.374;0.4625181;0;;
8.375;0.462856;0;;
8.396;0.5072036;0;;
8.396;0.5077417;0;;
8.397;0.5077417;0;;
8.417;0.5519147;0;;
8.418;0.5519147;0;;
8.419;0.5519147;0;;
8.439;0.5963509;0;;
8.44;0.5968096;0;;
8.462;0.6411144;0;;
8.463;0.6415048;0;;
8.463;0.6415719;0;;
8.484;0.6861379;0;;
8.485;0.6865907;0;;
8.486;0.6866545;0;;
8.507;0.7303784;0;;
8.508;0.730814;0;;
8.529;0.774893;0;;
8.53;0.775244;0;;
8.53;0.7752466;0;;
8.531;0.7753847;0;;
8.551;0.8203335;0;;
8.552;0.820788;0;;
8.553;0.8208622;0;;
8.554;0.820885;0;;
8.574;0.8648829;0;;
8.574;0.8654456;0;;
8.575;0.8654456;0;;
8.576;0.8654456;0;;
8.596;0.9090337;0;;
8.597;0.90944;0;;
8.597;0.9095031;0;;
8.598;0.9095895;0;;
8.617;0.9542944;0;;
8.618;0.9542944;0;;
8.619;0.9542944;0;;
8.639;0.9986084;0;;
8.64;0.9990667;0;;
8.642;0.9991443;0;;
8.643;0.9991551;0;;
8.662;1.043866;0;;
8.662;1.043866;0;;
8.685;1.088123;0;;
8.686;1.088504;0;;
8.687;1.088585;0;;
8.687;1.088599;0;;
8.707;1.13246;0;;
8.708;1.132919;0;;
8.709;1.132985;0;;
8.71;1.132995;0;;
8.711;1.132996;0;;
8.73;1.177454;0;;
8.731;1.177454;0;;
8.732;1.177454;0;;
8.732;1.177454;0;;
8.753;1.22273;0;;
8.753;1.22273;0;;
8.754;1.22273;0;;
8.775;1.266398;0;;
8.775;1.266928;0;;
8.776;1.266928;0;;
8.777;1.266928;0;;
8.797;1.311436;0;;
8.798;1.311855;0;;
8.819;1.356107;0;;
8.82;1.356628;0;;
8.821;1.356628;0;;
8.822;1.356628;0;;
8.823;1.356628;0;;
8.823;1.356628;0;;
8.8375733;;;-0.43805851846429;0.163313375129624
8.82;1.356628;0;;
8.821;1.356628;0;;
8.822;1.356628;0;;
8.823;1.356628;0;;
8.823;1.356628;0;;
8.842;1.40078;0;;
8.843;1.401262;0;;
8.844;1.401338;0;;
8.845;1.401352;0;;
8.866;1.450565;0;;
8.866;1.450565;0;;
8.867;1.450565;0;;
8.868;1.450565;0;;
8.887;1.490923;0;;
8.888;1.490923;0;;
8.888;1.490923;0;;
8.889;1.490923;0;;
8.909;1.535317;0;;
8.91;1.535317;0;;
8.911;1.535317;0;;
8.912;1.535317;0;;
8.931;1.579501;0;;
8.932;1.580081;0;;
8.933;1.580081;0;;
8.933;1.580081;0;;
8.953;1.624474;0;;
8.954;1.62487;0;;
8.955;1.624982;0;;
8.975;1.668441;0;;
8.976;1.668847;0;;
8.976;1.668911;0;;
8.977;1.66898;0;;
8.978;1.66899;0;;
8.998;1.713406;0;;
8.999;1.713688;0;;
8.999;1.713691;0;;
9;1.7139;0;;
9.021;1.758237;0;;
9.022;1.758759;0;;
9.043;1.803218;0;;
9.057;1.832433;0;;
9.065;1.848284;0;;
9.066;1.848685;0;;
9.067;1.848741;0;;
9.068;1.848755;0;;
9.069;1.848755;0;;
9.069;1.848755;0;;
9.069;1.848755;0;;
9.07;1.848755;0;;
9.087;1.892077;0;;
9.088;1.892587;0;;
9.088;1.892673;0;;
9.089;1.892716;0;;
9.11;1.937254;0;;
9.111;1.937254;0;;
9.112;1.937254;0;;
9.112;1.937254;0;;
9.132;1.981855;0;;
9.133;1.981855;0;;
9.134;1.981855;0;;
9.154;2.026346;0;;
9.155;2.026801;0;;
9.156;2.026899;0;;
9.156;2.026899;0;;
9.157;2.026899;0;;
9.177;2.070515;0;;
9.178;2.070927;0;;
9.178;2.070995;0;;
9.198;2.115299;0;;
9.199;2.115757;0;;
9.2;2.115825;0;;
9.2;2.115836;0;;
9.201;2.115845;0;;
9.22;2.158327;0;;
9.221;2.159492;0;;
9.243;2.203094;0;;
9.245;2.204323;0;;
9.246;2.204907;0;;
9.265;2.249344;0;;
9.266;2.249759;0;;
9.267;2.249881;0;;
9.268;2.249931;0;;
9.269;2.249931;0;;
9.269;2.249931;0;;
9.2842633;;;-0.494473014302577;-0.167342425399306
9.266;2.249759;0;;
9.267;2.249881;0;;
9.268;2.249931;0;;
9.269;2.249931;0;;
9.269;2.249931;0;;
9.288;2.293972;0;;
9.289;2.294687;0;;
9.311;2.347278;0;;
9.311;2.347763;0;;
9.312;2.348289;0;;
9.313;2.348449;0;;
9.314;2.348475;0;;
9.314;2.348486;0;;
9.334;2.383761;0;;
9.335;2.384086;0;;
9.335;2.384211;0;;
9.336;2.384211;0;;
9.356;2.42859;0;;
9.378;2.47343;0;;
9.379;2.47343;0;;
9.38;2.47343;0;;
9.4;2.517643;0;;
9.423;2.56269;0;;
9.424;2.56269;0;;
9.425;2.56269;0;;
9.445;2.60735;0;;
9.468;2.652162;0;;
9.47;2.652162;0;;
9.491;2.697155;0;;
9.492;2.697155;0;;
9.493;2.697155;0;;
9.513;2.741176;0;;
9.534;2.785909;0;;
9.535;2.785909;0;;
9.536;2.785909;0;;
9.537;2.785909;0;;
9.556;2.830098;0;;
9.557;2.830578;0;;
9.579;2.873985;0;;
9.58;2.874913;0;;
9.582;2.875449;0;;
9.583;2.875449;0;;
9.601;2.918922;0;;
9.602;2.919752;0;;
9.603;2.920126;0;;
9.604;2.920126;0;;
9.605;2.920126;0;;
9.625;2.964792;0;;
9.647;3.009479;0;;
9.648;3.009479;0;;
9.649;3.009479;0;;
9.669;2.977681;0;;
9.691;2.9331;0;;
9.693;2.9331;0;;
9.713;2.888243;0;;
9.715;2.888243;0;;
9.715;2.888243;0;;
9.7314551;;;-0.0665038089210392;-0.333011780562635
9.713;2.888243;0;;
9.715;2.888243;0;;
9.715;2.888243;0;;
9.736;2.843983;0;;
9.759;2.799117;0;;
9.76;2.799117;0;;
9.761;2.799117;0;;
9.782;2.754332;0;;
9.824;2.665163;0;;
9.826;2.665163;0;;
9.827;2.665163;0;;
9.828;2.665163;0;;
9.848;2.620399;0;;
9.85;2.620399;0;;
9.851;2.620399;0;;
9.872;2.57551;0;;
9.872;2.57551;0;;
9.893;2.530979;0;;
9.915;2.486319;0;;
9.917;2.486319;0;;
9.938;2.441407;0;;
9.94;2.441407;0;;
9.961;2.396708;0;;
9.962;2.396708;0;;
9.983;2.352262;0;;
9.984;2.352262;0;;
10.16;1.996215;0;;
10.1781452;;;-0.0539588655884065;-0.204978562937341
9.713;2.888243;0;;
9.715;2.888243;0;;
9.715;2.888243;0;;
9.736;2.843983;0;;
9.759;2.799117;0;;
9.76;2.799117;0;;
9.761;2.799117;0;;
9.782;2.754332;0;;
9.824;2.665163;0;;
9.826;2.665163;0;;
9.827;2.665163;0;;
9.828;2.665163;0;;
9.848;2.620399;0;;
9.85;2.620399;0;;
9.851;2.620399;0;;
9.872;2.57551;0;;
9.872;2.57551;0;;
9.893;2.530979;0;;
9.915;2.486319;0;;
9.917;2.486319;0;;
9.938;2.441407;0;;
9.94;2.441407;0;;
9.961;2.396708;0;;
9.962;2.396708;0;;
9.983;2.352262;0;;
9.984;2.352262;0;;
10.16;1.996215;0;;
10.635865;;;-0.0539588655884065;-0.0581405133659507
10.884;0.5431087;0;;
10.905;0.4987978;0;;
10.906;0.4978883;0;;
10.927;0.4540983;0;;
10.973;0.3649362;0;;
10.994;0.3196121;0;;
10.995;0.3190732;0;;
11.016;0.2751419;0;;
11.0940866;;;0.430725607149045;0.107602625324077
11.106;0.09626381;0;;
11.107;0.09584459;0;;
11.108;0.09577979;0;;
11.128;0.052171;0;;
11.129;0.05124903;0;;
11.151;0.005633228;0;;
11.285;-0.2614501;0;;
11.307;-0.3055719;0;;
11.329;-0.3512329;0;;
11.33;-0.3516779;0;;
11.352;-0.3953263;0;;
11.353;-0.3957347;0;;
11.374;-0.4398622;0;;
11.376;-0.4407576;0;;
11.398;-0.4837501;0;;
11.4;-0.4850876;0;;
11.422;-0.5297655;0;;
11.444;-0.5744559;0;;
11.445;-0.5748759;0;;
11.465;-0.6190233;0;;
11.467;-0.6195685;0;;
11.487;-0.6634729;0;;
11.488;-0.6639301;0;;
11.5523066;;;0.426035170520207;0.267600637360282
11.564;-0.8186516;0;;
11.566;-0.8197842;0;;
11.612;-0.9087031;0;;
11.614;-0.9095495;0;;
11.635;-0.9538635;0;;
11.636;-0.9543106;0;;
11.657;-0.998396;0;;
11.701;-1.088349;0;;
11.702;-1.088755;0;;
11.723;-1.132626;0;;
11.789;-1.266564;0;;
11.79;-1.267072;0;;
11.791;-1.267072;0;;
11.811;-1.311302;0;;
11.812;-1.31177;0;;
11.833;-1.355663;0;;
11.834;-1.356107;0;;
11.878;-1.44473;0;;
11.879;-1.445586;0;;
