Gameobject;Timestamp;rx;ry;w;corrWindow;corrFreq;corrMethod;eye
circular (1)Cube3;5.8038332;0.667181147433884;0.507517270699073;300;900;0.3;Pearson;BothEyes
circularCube4;5.8038332;0.688027988898549;0.428961165941973;300;900;0.3;Pearson;BothEyes
circularCube5;5.8038332;-0.675495201385971;-0.390327754627448;300;900;0.3;Pearson;BothEyes
circularCube6;5.8038332;-0.654859245322671;0.463375215539044;300;900;0.3;Pearson;BothEyes
circularCube7;5.8038332;0.66753355463457;-0.515622659541848;300;900;0.3;Pearson;BothEyes
circularCube8;5.8038332;0.245159706300987;-0.448315277963496;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;6.0946002;0.84028303243928;-0.386964647644029;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;6.0946002;0.720104968775007;0.396979089177902;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;6.0946002;-0.815743492498619;0.366640773463236;300;900;0.3;Pearson;BothEyes
circularCube4;6.0946002;-0.791709747416202;0.410228984158984;300;900;0.3;Pearson;BothEyes
circularCube5;6.0946002;0.799283526276205;-0.480230647654731;300;900;0.3;Pearson;BothEyes
circularCube6;6.0946002;0.834431400914907;0.373336970119821;300;900;0.3;Pearson;BothEyes
circularCube7;6.0946002;-0.810145456277557;-0.354413966782026;300;900;0.3;Pearson;BothEyes
circularCube8;6.0946002;0.710769288867699;-0.382513821011849;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;6.4044174;-0.58673173028949;-0.875765111255342;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;6.4044174;-0.471054948832783;0.879682313146495;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;6.4044174;0.519731279064081;0.87029495175467;300;900;0.3;Pearson;BothEyes
circularCube4;6.4044174;0.496087253189227;0.887028274591628;300;900;0.3;Pearson;BothEyes
circularCube5;6.4044174;-0.501200059941408;0.811210002137357;300;900;0.3;Pearson;BothEyes
circularCube6;6.4044174;-0.577233101966597;0.875178434943235;300;900;0.3;Pearson;BothEyes
circularCube7;6.4044174;0.513863125156535;-0.869329370446621;300;900;0.3;Pearson;BothEyes
circularCube8;6.4044174;-0.465214318429736;-0.879339084820776;300;900;0.3;Pearson;BothEyes
circular (3)Cube1;6.6976912;-0.172334225229046;-0.862087933359511;300;900;0.3;Pearson;BothEyes
circular (2)Cube2;6.6976912;-0.39669183589213;0.869343740389803;300;900;0.3;Pearson;BothEyes
circular (1)Cube3;6.6976912;0.468602705616972;0.854445221904144;300;900;0.3;Pearson;BothEyes
circularCube4;6.6976912;0.423057805532831;0.888505825805567;300;900;0.3;Pearson;BothEyes
circularCube5;6.6976912;-0.445934475332693;0.831149310792242;300;900;0.3;Pearson;BothEyes
circularCube6;6.6976912;-0.273635221805425;0.866280050175373;300;900;0.3;Pearson;BothEyes
circularCube7;6.6976912;0.474361090664141;-0.858487190288869;300;900;0.3;Pearson;BothEyes
circularCube8;6.6976912;-0.40171491343788;-0.87360870957654;300;900;0.3;Pearson;BothEyes
