circular (3)Cube6Timestamp;circular (3)Cube6XPos;circular (3)Cube6YPos;circular (3)Cube6newCorr;circular (3)Cube6smoothCorr
4.01;-0.73714;-1.859196;;
4.01;-0.7369109;-1.859289;;
4.011;-0.736784;-1.859341;;
4.012;-0.7367662;-1.859348;;
4.035;-0.7072855;-1.870732;;
4.036;-0.7065745;-1.871006;;
4.039;-0.7042285;-1.871912;;
4.0537486;;;-0.857088538567374;0.093056595720941
4.06;-0.6629424;-1.886925;;
4.062;-0.6625197;-1.887078;;
4.063;-0.6624637;-1.887099;;
4.083;-0.6380935;-1.895476;;
4.084;-0.6378755;-1.895551;;
4.105;-0.6044186;-1.906483;;
4.106;-0.6044186;-1.906483;;
4.127;-0.5715568;-1.916588;;
4.128;-0.5712641;-1.916678;;
4.149;-0.537811;-1.926329;;
4.15;-0.5375077;-1.926417;;
4.17;-0.504012;-1.935447;;
4.171;-0.5036964;-1.935533;;
4.172;-0.5036217;-1.935553;;
4.192;-0.4866003;-1.939901;;
4.192;-0.4864727;-1.939934;;
4.194;-0.4692894;-1.944162;;
4.214;-0.4270103;-1.953884;;
4.214;-0.4270103;-1.953884;;
4.215;-0.4270103;-1.953884;;
4.215;-0.4270103;-1.953884;;
4.235;-0.4014411;-1.959295;;
4.236;-0.4011196;-1.959363;;
4.236;-0.4011196;-1.959363;;
4.237;-0.4011196;-1.959363;;
4.256;-0.3667127;-1.966093;;
4.257;-0.3667127;-1.966093;;
4.258;-0.3667127;-1.966093;;
4.278;-0.332636;-1.972141;;
4.279;-0.332337;-1.972194;;
4.28;-0.3322482;-1.972209;;
4.28;-0.3322378;-1.972211;;
4.281;-0.332211;-1.972216;;
4.3;-0.2967941;-1.977856;;
4.301;-0.2967941;-1.977856;;
4.302;-0.2967941;-1.977856;;
4.322;-0.2628824;-1.982644;;
4.323;-0.2625341;-1.982693;;
4.324;-0.2624809;-1.982701;;
4.324;-0.2624723;-1.982702;;
4.344;-0.2451942;-1.984912;;
4.345;-0.2450289;-1.984933;;
4.346;-0.2449883;-1.984938;;
4.346;-0.2449814;-1.984939;;
4.350034;;;0.964525629812286;0.338475948615013
4.322;-0.2628824;-1.982644;;
4.323;-0.2625341;-1.982693;;
4.324;-0.2624809;-1.982701;;
4.324;-0.2624723;-1.982702;;
4.344;-0.2451942;-1.984912;;
4.345;-0.2450289;-1.984933;;
4.346;-0.2449883;-1.984938;;
4.346;-0.2449814;-1.984939;;
4.367;-0.2282233;-1.986935;;
4.367;-0.2281087;-1.986949;;
4.368;-0.2280216;-1.986959;;
4.369;-0.2280216;-1.986959;;
4.388;-0.1460885;-1.994635;;
4.389;-0.1451908;-1.99472;;
4.39;-0.1450288;-1.994735;;
4.391;-0.1450288;-1.994735;;
4.41;-0.1375059;-1.995267;;
4.411;-0.1374272;-1.995273;;
4.412;-0.125939;-1.996022;;
4.412;-0.1239896;-1.996149;;
4.434;-0.08811568;-1.998054;;
4.435;-0.08784205;-1.998069;;
4.435;-0.08770709;-1.998076;;
4.455;-0.0530521;-1.999296;;
4.456;-0.0530521;-1.999296;;
4.477;-0.02041857;-1.999896;;
4.478;-0.02041857;-1.999896;;
4.479;-0.02041857;-1.999896;;
4.479;-0.02041857;-1.999896;;
4.48;-0.02041857;-1.999896;;
4.5;-0.003313258;-1.999996;;
4.501;-0.003157773;-1.999997;;
4.501;-0.003100736;-1.999998;;
4.502;-0.003100736;-1.999998;;
4.523;0.05841642;-1.999135;;
4.524;0.05895967;-1.999128;;
4.525;0.05909672;-1.999126;;
4.525;0.05911965;-1.999126;;
4.545;0.08465034;-1.998206;;
4.546;0.0848906;-1.998197;;
4.547;0.08496555;-1.998194;;
4.548;0.08496555;-1.998194;;
4.567;0.1195055;-1.996422;;
4.567;0.1197762;-1.996409;;
4.568;0.1199352;-1.9964;;
4.569;0.1199578;-1.996399;;
4.588;0.1543402;-1.994032;;
4.59;0.1547327;-1.994005;;
4.611;0.1890978;-1.991037;;
4.612;0.1895085;-1.991001;;
4.632784;;;0.904945949041003;0.387711526037379
4.634;0.224498;-1.987357;;
4.635;0.2245159;-1.987355;;
4.636;0.2249052;-1.987314;;
4.656;0.2419464;-1.985308;;
4.657;0.2421587;-1.985284;;
4.677;0.2804699;-1.980232;;
4.678;0.2991296;-1.977484;;
4.7;0.3285027;-1.972831;;
4.701;0.3290587;-1.972743;;
4.723;0.363283;-1.966726;;
4.724;0.3636051;-1.96667;;
4.746;0.3976594;-1.960065;;
4.768;0.4336847;-1.952409;;
4.769;0.4340266;-1.952337;;
4.789;0.4662854;-1.944882;;
4.79;0.4666226;-1.944804;;
4.791;0.4666722;-1.944792;;
4.812;0.4832455;-1.94074;;
4.813;0.483404;-1.940701;;
4.814;0.4834354;-1.940693;;
4.835;0.5423334;-1.925053;;
4.836;0.5429013;-1.924903;;
4.837;0.5430089;-1.924874;;
4.838;0.5430264;-1.924869;;
4.838;0.5430282;-1.924869;;
4.857;0.567801;-1.917705;;
4.858;0.5680668;-1.917628;;
4.859;0.5681257;-1.917611;;
4.86;0.5681257;-1.917611;;
4.879;0.6013048;-1.907463;;
4.88;0.6016626;-1.907354;;
4.881;0.6017179;-1.907337;;
4.882;0.6017327;-1.907333;;
4.901;0.6345248;-1.896672;;
4.903;0.6348982;-1.89655;;
4.923;0.6514644;-1.890923;;
4.924;0.6644751;-1.886376;;
4.925;0.6685288;-1.884959;;
4.9365896;;;-0.0296187059070915;0.245691083594706
4.949;0.6847724;-1.879119;;
4.951;0.6934126;-1.875926;;
4.953;0.6975919;-1.874382;;
4.956;0.7006804;-1.873241;;
4.957;0.7012025;-1.873048;;
4.981;0.7579438;-1.850785;;
4.982;0.7589422;-1.850393;;
4.983;0.7597247;-1.850086;;
4.984;0.7597247;-1.850086;;
4.986;0.7597247;-1.850086;;
5.002;0.7819043;-1.840817;;
5.004;0.782491;-1.840572;;
5.005;0.7825564;-1.840545;;
5.005;0.7825588;-1.840544;;
5.026;0.8140476;-1.826828;;
5.027;0.8147879;-1.826505;;
5.028;0.8147879;-1.826505;;
5.048;0.8469634;-1.811809;;
5.049;0.8469634;-1.811809;;
5.069;0.8777232;-1.797101;;
5.071;0.8784001;-1.796778;;
5.092;0.9092823;-1.781345;;
5.093;0.9095932;-1.78119;;
5.114;0.9250293;-1.77322;;
5.117;0.9255295;-1.772962;;
5.141;0.9793776;-1.743783;;
5.142;0.979818;-1.743545;;
5.163;1.00411;-1.729668;;
5.164;1.00434;-1.729537;;
5.165;1.004401;-1.729502;;
5.166;1.004401;-1.729502;;
5.184;1.031889;-1.71324;;
5.185;1.032207;-1.713052;;
5.186;1.03225;-1.713026;;
5.187;1.032257;-1.713022;;
5.206;1.062084;-1.694686;;
5.207;1.062355;-1.69452;;
5.208;1.062439;-1.694468;;
5.208;1.062446;-1.694464;;
5.228;1.091424;-1.675941;;
5.229;1.091687;-1.675773;;
5.23;1.091794;-1.675705;;
5.23;1.091794;-1.675705;;
5.2353816;;;0.100587097430143;0.485109992594085
5.229;1.091687;-1.675773;;
5.23;1.091794;-1.675705;;
5.23;1.091794;-1.675705;;
5.249;1.120792;-1.656445;;
5.25;1.121104;-1.656237;;
5.251;1.121153;-1.656205;;
5.251;1.12116;-1.6562;;
5.271;1.135346;-1.646507;;
5.271;1.135431;-1.646449;;
5.272;1.13551;-1.646395;;
5.273;1.135522;-1.646387;;
5.293;1.184355;-1.611586;;
5.294;1.185003;-1.611125;;
5.294;1.185327;-1.610894;;
5.314;1.206384;-1.595189;;
5.315;1.206603;-1.595026;;
5.316;1.206634;-1.595003;;
5.317;1.206643;-1.594996;;
5.337;1.234518;-1.57352;;
5.337;1.234518;-1.57352;;
5.338;1.234518;-1.57352;;
5.339;1.234518;-1.57352;;
5.36;1.262037;-1.551536;;
5.361;1.262037;-1.551536;;
5.361;1.262037;-1.551536;;
5.382;1.288839;-1.52934;;
5.383;1.289095;-1.529127;;
5.384;1.289133;-1.529096;;
5.385;1.289148;-1.529083;;
5.404;1.314827;-1.50705;;
5.406;1.315402;-1.506557;;
5.407;1.315493;-1.506479;;
5.408;1.315493;-1.506479;;
5.428;1.328702;-1.49484;;
5.432;1.336485;-1.487862;;
5.436;1.346905;-1.478398;;
5.44;1.354402;-1.47159;;
5.441;1.354776;-1.47125;;
5.442;1.354877;-1.471159;;
5.46;1.38013;-1.447489;;
5.461;1.380419;-1.447219;;
5.462;1.380468;-1.447173;;
5.482;1.40518;-1.423185;;
5.483;1.405411;-1.42296;;
5.484;1.405473;-1.4229;;
5.504;1.430002;-1.398242;;
5.506;1.430232;-1.39801;;
5.507;1.430288;-1.397954;;
5.527;1.454399;-1.372847;;
5.528;1.454656;-1.372579;;
5.5371818;;;0.011027432688102;0.246735443313039
5.482;1.40518;-1.423185;;
