circCubeCube1Timestamp;circCubeCube1XPos;circCubeCube1YPos;circCubeCube1newCorr;circCubeCube1smoothCorr
0;;;0;0
4.138;-1.470676;0.2951458;;
4.14;-1.470673;0.2951632;;
4.159;-1.465313;0.3206998;;
4.16;-1.465242;0.3210402;;
4.161;-1.465242;0.3210402;;
4.161;-1.465242;0.3210402;;
4.18;-1.459314;0.346978;;
4.181;-1.459253;0.3472449;;
4.182;-1.459239;0.3473049;;
4.183;-1.459236;0.3473184;;
4.203;-1.453176;0.3718494;;
4.204;-1.4531;0.372158;;
4.204;-1.4531;0.372158;;
4.205;-1.4531;0.372158;;
4.224;-1.446447;0.3972198;;
4.225;-1.446378;0.3974766;;
4.226;-1.446365;0.3975289;;
4.226;-1.446362;0.3975377;;
4.247;-1.439207;0.4227001;;
4.248;-1.439147;0.4229097;;
4.248;-1.439143;0.4229235;;
4.249;-1.439127;0.4229807;;
4.275;-1.431586;0.4478333;;
4.276;-1.431535;0.4480027;;
4.276;-1.431514;0.4480719;;
4.277;-1.431514;0.4480719;;
4.29;-1.42521;0.4677272;;
4.291;-1.42397;0.4714865;;
4.311;-1.419184;0.4857085;;
4.311;-1.419157;0.4857909;;
4.312;-1.419129;0.4858728;;
4.313;-1.416012;0.4948512;;
4.314;-1.415202;0.4971863;;
4.314;-1.41507;0.4975656;;
4.332;-1.410523;0.5103146;;
4.333;-1.410476;0.5104464;;
4.333;-1.410468;0.5104687;;
4.334;-1.410463;0.5104845;;
4.353;-1.401417;0.5348103;;
4.354;-1.401327;0.5350525;;
4.355;-1.401299;0.5351264;;
4.355;-1.401299;0.5351264;;
4.375;-1.391778;0.5594146;;
4.375;-1.391706;0.5595992;;
4.396;-1.381794;0.5836405;;
4.396;-1.381719;0.5838234;;
4.397;-1.381676;0.5839286;;
4.398;-1.381676;0.5839286;;
4.398;-1.381676;0.5839286;;
4.399;-1.381676;0.5839286;;
4.4132296;;;-0.0117726789625807;0.0681871430240543
4.418;-1.371234;0.6080437;;
4.419;-1.371234;0.6080437;;
4.44;-1.360614;0.6314371;;
4.441;-1.360412;0.6318819;;
4.442;-1.360379;0.6319548;;
4.442;-1.360364;0.6319877;;
4.443;-1.360364;0.6319877;;
4.462;-1.349113;0.6556625;;
4.463;-1.349113;0.6556625;;
4.464;-1.349113;0.6556625;;
4.484;-1.337506;0.6790199;;
4.484;-1.337447;0.6791396;;
4.485;-1.337374;0.6792864;;
4.486;-1.337363;0.6793092;;
4.507;-1.325341;0.7024693;;
4.507;-1.325196;0.7027492;;
4.508;-1.325196;0.7027492;;
4.508;-1.325196;0.7027492;;
4.528;-1.312809;0.7256194;;
4.529;-1.312693;0.7258339;;
4.529;-1.312673;0.7258704;;
4.53;-1.312659;0.725897;;
4.55;-1.299942;0.7484258;;
4.551;-1.299819;0.7486452;;
4.551;-1.299797;0.748683;;
4.552;-1.299782;0.7487102;;
4.571;-1.286455;0.7713789;;
4.572;-1.286309;0.7716275;;
4.573;-1.286288;0.7716624;;
4.573;-1.286285;0.7716683;;
4.593;-1.27282;0.793675;;
4.594;-1.272651;0.7939515;;
4.595;-1.272651;0.7939515;;
4.595;-1.272651;0.7939515;;
4.615;-1.258532;0.8161477;;
4.616;-1.258532;0.8161477;;
4.616;-1.258532;0.8161477;;
4.617;-1.258532;0.8161477;;
4.637;-1.244221;0.837798;;
4.638;-1.244042;0.8380683;;
4.639;-1.244042;0.8380683;;
4.639;-1.244042;0.8380683;;
4.659;-1.236565;0.8490624;;
4.66;-1.231327;0.856621;;
4.661;-1.229842;0.8587645;;
4.662;-1.229423;0.8593697;;
4.681;-1.221544;0.8705328;;
4.681;-1.221503;0.8705911;;
4.682;-1.215148;0.879425;;
4.683;-1.213779;0.8813288;;
4.704;-1.19891;0.9014351;;
4.705;-1.19856;0.9019085;;
4.705;-1.198444;0.9020652;;
4.707;-1.198199;0.9023963;;
4.7149997;;;-0.231319944212384;-0.0344479900993462
4.726;-1.182339;0.9230739;;
4.727;-1.182167;0.9232988;;
4.728;-1.182133;0.9233427;;
4.736;-1.182133;0.9233427;;
4.748;-1.173951;0.9337232;;
4.749;-1.167594;0.9416439;;
4.749;-1.1665;0.9430066;;
4.75;-1.165822;0.9438514;;
4.77;-1.14962;0.9635091;;
4.771;-1.149231;0.9639806;;
4.772;-1.149118;0.9641187;;
4.773;-1.149037;0.9642166;;
4.792;-1.14066;0.9741113;;
4.793;-1.133262;0.9826981;;
4.794;-1.132253;0.9838685;;
4.795;-1.132044;0.9841112;;
4.815;-1.123331;0.9940445;;
4.816;-1.117443;1.000641;;
4.817;-1.115518;1.002797;;
4.817;-1.115448;1.002877;;
4.837;-1.105691;1.013629;;
4.838;-1.100068;1.01971;;
4.839;-1.096657;1.023398;;
4.839;-1.096657;1.023398;;
4.859;-1.087603;1.033015;;
4.859;-1.087603;1.033015;;
4.86;-1.081899;1.038969;;
4.861;-1.078664;1.042345;;
4.88;-1.069422;1.051825;;
4.881;-1.069422;1.051825;;
4.881;-1.069422;1.051825;;
4.882;-1.069422;1.051825;;
4.901;-1.050994;1.070235;;
4.902;-1.050794;1.070435;;
4.903;-1.050764;1.070465;;
4.903;-1.050759;1.07047;;
4.923;-1.03209;1.088477;;
4.924;-1.03191;1.08865;;
4.944;-1.012873;1.106381;;
4.945;-1.012633;1.106605;;
4.946;-1.012633;1.106605;;
4.946;-1.012633;1.106605;;
4.947;-1.012633;1.106605;;
4.967;-0.9929473;1.124302;;
4.967;-0.9929473;1.124302;;
4.968;-0.9929473;1.124302;;
4.987;-0.9734401;1.14123;;
4.988;-0.9731823;1.141454;;
4.988;-0.9731823;1.141454;;
4.989;-0.9731823;1.141454;;
