horizontalCube1Timestamp;horizontalCube1XPos;horizontalCube1YPos;horizontalCube1newCorr;horizontalCube1smoothCorr
4.132;-2;-0.0274954;;
4.133;-2;-0.0274954;;
4.134;-2;-0.0274954;;
4.153;-2;-0.07128885;;
4.154;-2;-0.07176545;;
4.155;-2;-0.07185793;;
4.177;-2;-0.09456933;;
4.178;-2;-0.09456933;;
4.178;-2;-0.09456933;;
4.179;-2;-0.1230661;;
4.18;-2;-0.1275065;;
4.199;-2;-0.1605808;;
4.2;-2;-0.160916;;
4.201;-2;-0.1609883;;
4.201;-2;-0.1610007;;
4.221;-2;-0.2055572;;
4.221;-2;-0.205922;;
4.222;-2;-0.2060884;;
4.223;-2;-0.2061109;;
4.243;-2;-0.2499338;;
4.244;-2;-0.2503155;;
4.245;-2;-0.2504385;;
4.264;-2;-0.296008;;
4.265;-2;-0.2964949;;
4.266;-2;-0.2965862;;
4.331;-2;-0.4068636;;
4.3355232;;;0.492615454670745;0.166462043566362
4.375;-2;-0.5180753;;
4.376;-2;-0.5185094;;
4.377;-2;-0.5186056;;
4.397;-2;-0.5632518;;
4.398;-2;-0.5637181;;
4.419;-2;-0.6076213;;
4.42;-2;-0.6080402;;
4.442;-2;-0.65241;;
4.443;-2;-0.6528271;;
4.464;-2;-0.6970841;;
4.465;-2;-0.6975235;;
4.466;-2;-0.6975937;;
4.486;-2;-0.724763;;
4.487;-2;-0.7251004;;
4.488;-2;-0.7251004;;
4.488;-2;-0.7251004;;
4.509;-2;-0.786319;;
4.51;-2;-0.7869198;;
4.511;-2;-0.7870107;;
4.512;-2;-0.7870415;;
4.53;-2;-0.8090846;;
4.531;-2;-0.8090846;;
4.532;-2;-0.8271556;;
4.533;-2;-0.8328476;;
4.554;-2;-0.8762893;;
4.554;-2;-0.8762893;;
4.555;-2;-0.8762893;;
4.576;-2;-0.9194303;;
4.577;-2;-0.9204521;;
4.598;-2;-0.9651425;;
4.599;-2;-0.9656771;;
4.621;-2;-1.010337;;
4.621;-2;-1.010337;;
4.622;-2;-1.010337;;
4.623;-2;-1.010337;;
4.642;-2;-1.010337;;
4.643;-2;-1.010337;;
4.643;-2;-1.010337;;
4.644;-2;-1.010337;;
4.664;-2;-1.010337;;
4.665;-2;-1.010337;;
4.6844504;;;0.453669889099805;0.171422413576994
4.707;-2;-1.180354;;
4.707;-2;-1.180354;;
4.708;-2;-1.180354;;
4.709;-2;-1.180354;;
4.729;-2;-1.210543;;
4.73;-2;-1.210857;;
4.731;-2;-1.229748;;
4.751;-2;-1.233282;;
4.752;-2;-1.233316;;
4.753;-2;-1.233324;;
4.753;-2;-1.233325;;
4.754;-2;-1.27126;;
4.773;-2;-1.27802;;
4.773;-2;-1.278077;;
4.774;-2;-1.278102;;
4.794;-2;-1.343833;;
4.794;-2;-1.34438;;
4.795;-2;-1.344617;;
4.796;-2;-1.344649;;
4.816;-2;-1.388991;;
4.837;-2;-1.434744;;
4.838;-2;-1.434744;;
4.858;-2;-1.457031;;
4.859;-2;-1.457259;;
4.879;-2;-1.523146;;
4.881;-2;-1.52386;;
4.901;-2;-1.568083;;
4.902;-2;-1.568644;;
4.923;-2;-1.613076;;
4.923;-2;-1.613076;;
4.952;-2;-1.635554;;
4.953;-2;-1.66897;;
4.965;-2;-1.686676;;
4.966;-2;-1.700518;;
4.967;-2;-1.702912;;
4.987;-2;-1.724557;;
4.988;-2;-1.724557;;
4.9887601;;;-0.366293309692738;0.193330678025937
4.987;-2;-1.724557;;
4.988;-2;-1.724557;;
4.989;-2;-1.743459;;
4.99;-2;-1.748156;;
5.01;-2;-1.768891;;
5.011;-2;-1.769629;;
5.012;-2;-1.769804;;
5.036;-2;-1.835344;;
5.037;-2;-1.835902;;
5.038;-2;-1.836025;;
5.038;-2;-1.836025;;
5.039;-2;-1.836025;;
5.058;-2;-1.881035;;
5.059;-2;-1.881035;;
5.059;-2;-1.881035;;
5.06;-2;-1.881035;;
5.08;-2;-1.925182;;
5.081;-2;-1.925729;;
5.082;-2;-1.925729;;
5.082;-2;-1.925729;;
